22;331;35c;490;
a6;31d;335;a3e0;
a7;322;335;a988;
a8;321;335;af2c;
aa;31c;334;b4d0;
aa;31d;334;ba74;
aa;31f;332;c020;
ad;31b;334;c5c0;
ad;31c;330;cb64;
ae;31c;331;d108;
ae;317;330;d6b0;
b0;31a;32f;dc54;
b1;31a;32e;e1f8;
b2;318;32f;e79c;
b3;31b;32f;ed44;
b5;319;32d;f2e8;
b6;319;32f;f88c;
b6;31b;32f;fe30;
b7;318;32d;3d8;
b9;31a;32e;928;
ba;318;32c;e78;
ba;318;32d;13c8;
bb;317;32d;196c;
bd;31b;330;1f10;
bd;31b;32c;24b4;
be;31a;32c;2a5c;
bf;317;32a;3004;
c0;319;32a;35a4;
c2;319;32e;3b48;
c2;318;329;40f0;
c3;319;329;4694;
c4;316;328;4c38;
c4;318;328;51dc;
c5;318;327;5784;
c6;316;327;5d28;
c7;318;327;62cc;
c7;318;326;6870;
c9;315;323;6e18;
ca;319;323;73bc;
ca;318;326;7960;
cb;316;324;7f04;
cc;318;324;84ac;
cd;316;323;8a50;
ce;313;323;8ff4;
ce;316;323;9598;
cf;317;325;9b40;
cf;312;322;a0e4;
d1;31b;325;a688;
d2;317;328;ac2c;
d3;315;31f;b1d4;
d4;315;322;b778;
d4;316;321;bd1c;
d4;315;322;c2c0;
d4;314;321;c868;
d6;313;323;ce0c;
d6;312;322;d3b0;
d5;310;320;d954;
d7;311;321;defc;
d7;312;320;e4a0;
d9;313;321;ea44;
d9;312;320;efe8;
da;314;322;f590;
da;312;320;fb34;
d9;310;31f;d8;
da;312;321;5d4;
dc;312;322;b24;
dc;310;321;1074;
dc;312;320;1618;
dc;311;325;1bbc;
de;311;322;2164;
de;311;31f;2708;
de;311;321;2cac;
e0;312;321;3250;
e0;313;321;37f8;
e0;312;321;3d9c;
df;310;320;4340;
e0;314;321;48e4;
e1;311;31f;4e8c;
e1;310;31f;5430;
e1;312;31e;59d4;
e1;312;31e;5f78;
e2;315;31e;6520;
e3;312;31d;6ac4;
e3;312;31d;7068;
e3;311;31e;760c;
e4;310;31e;7bb4;
e4;311;31d;8158;
e4;310;31e;86fc;
e4;314;31d;8ca0;
e4;312;31c;9248;
e5;313;31e;97ec;
e4;311;31e;9d90;
e4;310;31f;a334;
e6;311;31c;a8dc;
e5;312;31d;ae80;
e5;312;31f;b424;
e6;310;31e;b9c8;
e6;312;31d;bf70;
e6;312;31d;c514;
e5;30f;31d;cab8;
e5;312;31d;d05c;
e6;310;31d;d604;
e5;311;31d;dba8;
e6;312;31e;e14c;
e5;30e;31d;e6f0;
e5;310;31b;ec98;
e5;311;31f;f23c;
e5;312;31c;f7e0;
e5;311;31c;fd84;
e4;310;31c;32c;
e6;313;31f;87c;
e5;312;31f;dcc;
e5;312;31c;131c;
e4;311;31b;18c0;
e5;30f;31d;1e64;
e3;310;31c;2410;
e3;311;31e;29b0;
e3;30f;31d;2f54;
e3;311;31d;34f8;
e3;312;320;3a9c;
e2;310;31d;4044;
e2;311;31d;45e8;
e2;311;31d;4b8c;
e2;310;31e;5130;
e2;311;31d;56d8;
e1;311;31f;5c7c;
e0;30f;31e;6220;
e1;311;31e;67c4;
e0;312;31d;6d6c;
e1;30e;31d;7310;
e0;310;31e;78b4;
df;312;319;7e58;
df;313;31c;8400;
dd;311;31a;89a4;
dd;311;31d;8f48;
dd;310;31f;94ec;
dd;312;31c;9a94;
dd;312;31c;a038;
db;30e;31e;a5dc;
db;310;31d;ab80;
da;310;31c;b128;
da;311;31c;b6cc;
da;312;31f;bc70;
d9;310;31e;c214;
d9;30f;31f;c7bc;
d8;311;31d;cd60;
d8;310;31d;d304;
d7;310;31e;d8a8;
d7;310;31c;de50;
d6;310;31d;e3f4;
d5;310;31d;e998;
d4;310;31d;ef3c;
d4;311;31d;f4e4;
d4;310;31e;fa88;
d3;312;31e;2c;
d2;311;31f;528;
d1;310;31f;a78;
d0;311;31d;fc8;
d0;313;31c;1518;
cf;30f;31d;1abc;
cd;310;31d;2060;
cd;311;31c;2608;
cc;310;31d;2bac;
cb;30e;31e;3150;
cb;311;31d;36f4;
ca;30f;31d;3c9c;
ca;311;31d;4240;
c9;310;31b;47e4;
c7;312;31a;4d88;
c7;313;31d;5330;
c6;312;319;58d4;
c5;312;31b;5e78;
c4;310;31c;6420;
c3;311;31d;69c4;
c2;310;31a;6f68;
c2;311;31d;750c;
c1;312;31d;7ab0;
c0;313;31e;8058;
c0;310;31c;85fc;
be;310;31d;8ba0;
bd;310;31d;9144;
bd;30f;31f;96ec;
ba;310;31e;9c90;
ba;311;31f;a234;
b9;310;31f;a7d8;
b8;313;31d;ad80;
b7;310;31f;b324;
b7;311;31d;b8c8;
b5;310;31d;be6c;
b4;311;320;c418;
b3;310;31e;c9b8;
b2;312;31d;cf5c;
af;311;31d;d500;
b1;311;31e;daa8;
ae;311;31d;e04c;
ae;310;31c;e5f0;
ad;310;31c;eb94;
ab;311;31d;f13c;
aa;30f;31c;f6e0;
aa;30f;31d;fc84;
a9;311;31e;228;
a8;311;31c;778;
a5;30f;31d;cc8;
a5;311;31c;1218;
a4;312;31c;17c0;
a3;311;31d;1d64;
a2;30f;31c;2308;
a0;310;31d;28ac;
a0;313;31c;2e54;
9f;313;31d;33f8;
9d;312;31c;399c;
9b;30e;31d;3f40;
9b;313;31a;44e8;
98;310;31d;4a8c;
97;30e;31e;5030;
96;311;31d;55d4;
95;311;31d;5b7c;
94;310;31d;6120;
93;311;31b;66c4;
91;311;31d;6c68;
90;311;31f;7210;
8f;312;31d;77b4;
8d;311;31b;7d58;
8d;310;31e;82fc;
8b;311;31d;88a4;
8a;312;31e;8e48;
89;30f;31e;93ec;
87;313;31d;9990;
86;313;31e;9f38;
84;311;31f;a4dc;
83;310;31d;aa80;
82;312;31a;b024;
80;310;31e;b5cc;
7f;30f;31e;bb70;
7e;311;31f;c114;
7d;311;31e;c6b8;
7c;313;31d;cc60;
7a;30f;31c;d204;
78;30f;31e;d7a8;
78;313;31d;dd4c;
76;311;321;e2f4;
75;310;322;e898;
74;312;320;ee3c;
71;310;322;f3e0;
71;310;322;f988;
70;312;321;ff2c;
6e;312;323;4d0;
6e;311;325;a20;
6d;312;328;f70;
6b;314;327;14c0;
6a;311;32a;1a64;
68;312;329;2010;
67;314;328;25b0;
66;312;32a;2b54;
65;312;32b;30f8;
63;314;32a;36a0;
62;314;32a;3c44;
61;316;32d;41e8;
5f;315;32f;478c;
5f;317;330;4d34;
5e;315;32e;52d8;
5c;316;32e;587c;
5b;315;330;5e20;
5a;317;333;63c8;
58;318;331;696c;
58;317;332;6f10;
55;318;332;74b4;
54;318;331;7a5c;
53;31b;332;8004;
52;319;334;85a4;
51;31e;335;8b48;
50;31a;336;90f0;
4f;31c;336;9694;
4e;31a;336;9c38;
4d;31d;338;a1dc;
4b;31d;335;a784;
49;31e;338;ad28;
4a;31c;338;b2cc;
49;31e;339;b870;
47;320;33a;be18;
46;320;33c;c3bc;
45;320;33d;c960;
44;321;33f;cf04;
43;321;33c;d4ac;
42;320;33d;da50;
41;321;33f;dff4;
3f;322;33e;e598;
3f;328;340;eb40;
3e;328;33f;f0e4;
3d;325;33f;f688;
3c;326;340;fc2c;
3b;328;342;1d4;
39;328;33f;724;
39;328;344;c74;
38;328;342;11c4;
37;325;342;1768;
36;32a;342;1d0c;
35;327;345;22b0;
34;328;346;2858;
34;32a;344;2dfc;
32;328;344;33a0;
32;327;346;3944;
31;329;343;3eec;
30;32a;349;4490;
2f;329;349;4a34;
30;327;348;4fd8;
2e;32b;347;5580;
2d;329;348;5b24;
2c;327;348;60c8;
2b;329;349;666c;
2b;32b;34c;6c18;
2a;329;349;71b8;
29;329;34b;775c;
28;32b;34a;7d00;
28;327;347;82a8;
27;32b;34d;884c;
26;328;34d;8df0;
26;32a;34f;9394;
25;32b;34e;993c;
25;32b;34f;9ee0;
24;32b;34e;a484;
23;32e;34d;aa28;
23;32b;34f;afd0;
22;330;34f;b574;
21;32f;350;bb18;
22;32d;34f;c0bc;
20;32f;350;c664;
21;32f;34e;cc0c;
20;330;354;d1ac;
1f;331;351;d750;
1f;331;353;dcf8;
1f;32f;354;e29c;
1e;330;350;e840;
1e;332;353;ede4;
1d;331;351;f38c;
1d;331;354;f930;
1c;330;351;fed4;
1d;330;353;478;
1b;331;353;9c8;
1c;332;354;f18;
1b;331;355;1468;
1c;331;353;1a10;
1a;331;355;1fb4;
1b;32d;356;2558;
1a;332;355;2afc;
1a;330;358;30a4;
1a;331;358;3648;
19;333;357;3bec;
19;32e;356;4190;
19;330;356;4738;
19;331;356;4cdc;
19;330;356;5280;
1a;331;356;5824;
18;334;356;5dcc;
18;332;355;6370;
19;32f;355;6914;
19;331;357;6eb8;
18;331;355;7460;
19;331;357;7a04;
19;331;358;7fa8;
18;331;357;854c;
19;32f;358;8af4;
19;331;358;9098;
19;332;357;963c;
19;332;35a;9be0;
1a;338;356;a188;
19;332;358;a72c;
1a;330;35a;acd0;
1a;333;358;b274;
1a;331;357;b820;
1a;331;359;bdc0;
1a;332;358;c364;
1a;330;357;c908;
1b;333;35a;ceb0;
1b;331;359;d454;
1c;332;359;d9f8;
1c;330;35a;df9c;
1c;332;357;e544;
1c;32f;35b;eae8;
1e;331;358;f08c;
1d;332;359;f630;
1e;332;35b;fbd8;
1e;331;359;17c;
1f;331;359;6cc;
1f;331;358;c20;
20;332;35a;116c;
20;332;35a;1710;
21;331;35a;1cb4;
22;331;35a;225c;
21;336;35a;2808;
23;333;359;2da4;
23;331;359;3348;
23;332;356;38f0;
24;331;35a;3e94;
24;330;357;4438;
25;331;357;49dc;
26;332;358;4f84;
27;331;35a;5528;
28;332;359;5acc;
29;330;358;6070;
2a;333;35a;6618;
2b;334;35b;6bbc;
2b;333;35d;7160;
2c;331;358;7704;
2c;331;359;7cac;
2d;332;35b;8250;
2f;331;35b;87f4;
2e;333;35a;8d98;
30;331;35c;9340;
31;331;357;98e4;
32;331;359;9e88;
32;332;357;a42c;
34;331;358;a9d4;
35;331;358;af78;
36;32f;357;b51c;
36;330;356;bac0;
37;330;358;c068;
38;334;357;c60c;
3a;331;35a;cbb0;
3b;332;357;d154;
3c;333;357;d6fc;
3d;331;35b;dca0;
3e;332;359;e244;
3e;32e;357;e7e8;
3f;32f;358;ed90;
41;332;359;f334;
41;334;357;f8d8;
44;330;357;fe7c;
44;332;354;424;
44;32f;355;974;
46;330;354;ec4;
47;330;355;1418;
49;32f;353;19b8;
4a;32f;356;1f5c;
4b;331;355;2500;
4c;330;356;2aa8;
4e;32d;351;304c;
4f;32f;353;35f0;
50;330;354;3b94;
51;32f;353;413c;
52;32f;352;46e0;
53;32e;353;4c84;
54;32c;352;5228;
56;330;353;57d0;
57;330;34f;5d74;
5a;32d;353;6318;
5a;330;34f;68bc;
5b;32c;34e;6e64;
5d;32b;34c;740c;
5d;32d;34f;79ac;
5f;32c;34e;7f50;
61;329;34e;84f8;
62;32a;34e;8a9c;
63;32a;34d;9040;
65;326;34c;95e4;
66;328;34c;9b8c;
68;328;34e;a130;
69;325;34b;a6d4;
6b;326;34f;ac78;
6b;322;34e;b220;
6d;323;34c;b7c4;
6f;326;34b;bd68;
70;325;348;c30c;
71;324;349;c8b4;
72;326;348;ce58;
74;325;349;d3fc;
