
;32d;34a;d3bc;
b9;313;34f;fc6c;
bd;315;34a;210;
bf;314;34d;760;
c3;316;34b;cb0;
c7;315;349;1200;
c9;314;348;17a4;
cd;313;346;1d4c;
cf;315;341;22f0;
d2;315;343;2894;
d5;315;342;2e38;
d7;316;33f;33e0;
d9;318;33c;3984;
db;314;33b;3f28;
dc;313;336;44cc;
df;312;337;4a74;
e0;313;334;501c;
e0;317;333;55bc;
e3;315;331;5b60;
e4;315;331;6108;
e5;311;32c;66ac;
e5;317;328;6c50;
e5;314;327;71f4;
e5;312;327;779c;
e5;311;325;7d40;
e5;311;322;82e4;
e4;30f;31f;8888;
e4;30d;31f;8e30;
e1;30d;31c;93d4;
e1;30d;31c;9978;
e0;30d;319;9f1c;
dd;30d;319;a4c4;
dd;30d;318;aa68;
da;30b;316;b014;
d8;30c;319;b5b0;
d5;30c;315;bb58;
d3;309;315;c0fc;
d0;30c;315;c6a0;
cd;30d;316;cc44;
ca;30b;316;d1ec;
c6;30c;314;d790;
c3;30e;313;dd34;
c0;30a;317;e2d8;
bd;30d;316;e880;
b8;30c;314;ee24;
b5;30d;315;f3c8;
b1;309;316;f96c;
ac;30c;318;ff14;
a8;30c;314;4b8;
a4;30b;313;a08;
a0;30c;316;f58;
9b;30c;315;14a8;
97;30c;316;1a4c;
94;30f;315;1ff0;
8f;30b;315;2598;
8a;30c;315;2b3c;
85;30d;314;30e0;
80;308;318;3684;
7c;30e;317;3c2c;
78;30c;315;41d0;
73;309;318;4774;
6f;30b;318;4d18;
69;30d;318;52c0;
66;30b;317;5864;
61;309;319;5e08;
5c;30e;31b;63ac;
58;30c;31b;6954;
54;30c;31f;6ef8;
50;30c;31f;749c;
4b;30e;321;7a40;
48;30f;324;7fe8;
44;30e;324;858c;
3f;30c;323;8b30;
3d;30e;326;90d4;
39;30f;32b;967c;
35;310;32b;9c20;
33;313;32f;a1c4;
2f;312;32d;a768;
2d;314;333;ad10;
2a;316;335;b2b4;
27;31a;334;b858;
25;319;337;bdfc;
23;31a;338;c3a4;
21;320;339;c948;
1f;31f;33b;ceec;
1e;323;33f;d490;
1c;326;340;da38;
1c;326;342;dfdc;
1b;329;346;e580;
1a;32c;347;eb24;
19;32d;348;f0cc;
19;32e;34a;f670;
18;332;34a;fc1c;
19;32d;34a;1b8;
19;334;34b;708;
1a;333;350;c58;
1b;334;350;11a8;
1b;333;354;1750;
1c;334;352;1cf4;
1d;335;356;2298;
1f;333;356;283c;
20;331;356;2de4;
23;332;35b;3388;
24;334;358;392c;
27;335;359;3ed0;
29;333;35b;4478;
2c;333;35c;4a1c;
2f;335;35d;4fc0;
32;32f;35f;5564;
35;333;35a;5b0c;
38;334;35d;60b0;
3c;333;35f;6654;
3f;332;35f;6bf8;
43;332;361;71a0;
46;331;361;7744;
4a;334;360;7ce8;
4f;330;35e;828c;
54;330;35e;8834;
57;330;360;8dd8;
5b;332;360;937c;
60;330;35e;9920;
65;32e;35f;9ec8;
69;330;35e;a46c;
6e;32c;35f;aa10;
72;32b;35d;afb4;
77;32e;360;b55c;
7b;32b;35d;bb00;
80;327;35d;c0a4;
85;327;35b;c648;
8a;327;35d;cbf0;
8e;322;35c;d194;
92;321;35a;d738;
97;31f;35b;dcdc;
9b;31d;359;e284;
a0;31e;359;e828;
a4;31b;357;edcc;
a8;319;355;f370;
ad;318;353;f918;
b0;315;352;febc;
b6;315;353;460;
b8;312;351;9b0;
bd;315;34a;f00;
bf;313;34d;1450;
c3;317;34c;19f4;
c6;310;34a;1f9c;
ca;315;347;2540;
cc;314;344;2ae4;
cf;312;343;3088;
d2;313;344;3630;
d5;315;33f;3bd4;
d8;317;33e;4178;
d9;317;33d;471c;
db;316;33b;4cc4;
dd;314;338;5268;
df;316;336;5814;
e2;313;334;5db0;
e2;313;333;6358;
e3;317;330;68fc;
e4;313;32d;6ea0;
e5;311;32d;7444;
e5;310;327;79ec;
e5;314;327;7f90;
e4;313;327;8534;
e5;310;324;8ad8;
e4;310;323;9080;
e3;30f;320;9624;
e3;30e;321;9bc8;
e1;30f;31d;a16c;
e0;30c;31b;a714;
e0;30e;31b;acb8;
dd;30b;319;b25c;
dd;30c;317;b808;
d9;309;316;bda8;
d8;30c;314;c34c;
d4;30c;314;c8f0;
d2;30a;316;ce94;
ce;30b;315;d43c;
cc;30c;315;d9e0;
cb;30d;315;df84;
c7;30e;315;e528;
c3;30d;315;ead0;
bf;30e;316;f074;
bd;30d;313;f618;
b9;309;314;fbbc;
b5;30b;312;164;
b1;30a;315;6b4;
ac;30c;315;c08;
a9;30b;313;1154;
a4;30b;313;16f8;
a1;30b;316;1c9c;
9c;309;314;2240;
96;30a;317;27e8;
92;30b;319;2d8c;
8e;30b;316;3330;
89;30c;315;38d4;
85;30d;318;3e7c;
80;309;316;4420;
7b;30c;315;49c4;
77;30b;319;4f68;
73;30b;319;5510;
6d;30c;319;5ab4;
69;30e;31a;6058;
65;30b;319;65fc;
60;30c;31b;6ba4;
5c;30c;31d;7148;
57;30b;31c;76ec;
53;30d;320;7c90;
50;308;31e;8238;
4c;309;322;87dc;
47;30e;320;8d80;
44;30e;326;9324;
40;30b;325;98cc;
3c;30f;32b;9e70;
38;30f;32a;a41c;
35;30f;327;a9b8;
31;312;32b;af60;
2f;312;32f;b504;
2c;315;333;baa8;
29;31a;335;c04c;
27;318;336;c5f4;
25;31b;338;cb98;
23;31d;339;d13c;
21;31f;33b;d6e0;
1f;322;340;dc88;
1d;324;33f;e22c;
1c;324;341;e7d0;
1b;327;344;ed74;
1a;32a;344;f31c;
19;32c;347;f8c0;
19;32b;349;fe64;
19;331;347;410;
1a;330;34c;958;
19;334;34d;ea8;
19;336;351;13f8;
1a;330;350;19a0;
1a;332;350;1f44;
1b;334;351;24e8;
1d;335;355;2a8c;
1e;334;357;3034;
1f;334;357;35d8;
21;331;357;3b7c;
24;330;358;4120;
25;334;355;46c8;
28;333;35c;4c6c;
2a;333;357;5210;
2b;332;359;57b4;
30;333;35c;5d5c;
32;333;35d;6300;
35;334;35c;68a4;
39;334;35d;6e48;
3b;332;35e;73f0;
3f;334;35d;7994;
43;334;362;7f38;
48;331;35d;84dc;
4c;333;35e;8a84;
4f;334;360;9028;
54;332;35e;95cc;
58;334;35d;9b70;
5b;331;35e;a118;
60;333;35f;a6bc;
65;330;35f;ac60;
6a;331;361;b204;
6e;32d;35b;b7ac;
73;32b;35d;bd50;
78;32a;35f;c2f4;
7c;328;35d;c898;
80;327;35b;ce40;
84;324;35d;d3e4;
8a;323;35d;d988;
8e;320;35b;df2c;
93;320;35c;e4d4;
98;31f;35c;ea78;
9b;31b;357;f020;
a0;31d;35a;f5c0;
a5;319;35a;fb68;
a8;31a;355;10c;
ac;31a;358;65c;
b1;315;356;bac;
b4;316;353;10fc;
b9;316;351;16a0;
bc;316;34f;1c44;
c0;317;34e;21ec;
c3;315;34b;2790;
c7;319;349;2d34;
c9;314;347;32d8;
cd;315;347;3880;
d0;315;344;3e24;
d2;314;341;43c8;
d5;315;342;496c;
d8;316;33f;4f14;
d9;315;33b;54b8;
dc;313;33a;5a5c;
dc;315;336;6008;
de;313;336;65a8;
e0;315;334;6b4c;
e1;310;331;70f0;
e3;314;330;7694;
e4;30f;32e;7c3c;
e4;311;32c;81e0;
e4;311;327;8784;
e6;30f;329;8d28;
e5;30d;327;92d0;
e5;310;31f;9874;
e4;30f;322;9e18;
e3;30d;320;a3bc;
e2;30d;31f;a964;
e1;30d;31e;af08;
e0;30f;31b;b4ac;
df;30d;31c;ba50;
de;30b;31a;bff8;
db;30d;319;c59c;
da;30c;31a;cb40;
d8;30c;318;d0e4;
d4;30b;313;d68c;
d2;30c;313;dc30;
ce;30b;313;e1d4;
cc;30a;315;e778;
ca;30b;314;ed20;
c7;309;315;f2c4;
c2;30d;313;f868;
bf;30a;313;fe0c;
bc;309;314;3b4;
b8;30c;316;904;
b5;30b;313;e54;
b1;309;314;13a4;
ad;30a;316;1948;
a8;30a;313;1eec;
a4;30e;315;2490;
a0;30b;313;2a38;
9b;30b;315;2fdc;
96;30c;315;3580;
93;30a;315;3b24;
8e;30a;315;40cc;
89;30d;318;4670;
84;309;314;4c1c;
80;30a;314;51b8;
7b;30a;317;5760;
77;30a;315;5d04;
72;30c;315;62a8;
6e;30b;318;684c;
69;30b;317;6df4;
64;30a;319;7398;
60;30b;31b;793c;
5c;30b;31b;7ee0;
56;30c;31b;8488;
53;30a;320;8a2c;
4f;309;31f;8fd0;
4a;30c;31e;9574;
46;309;321;9b1c;
44;30c;324;a0c0;
3f;30d;327;a664;
3c;30d;329;ac10;
38;30e;32a;b1b0;
35;30f;32a;b754;
31;310;32c;bcf8;
2f;312;32e;c29c;
2c;314;32f;c844;
29;318;336;cde8;
26;31c;335;d38c;
24;31b;337;d930;
