;04;31a;b1f4;
ac;322;357;72f8;
b2;320;354;789c;
b9;31d;354;7e40;
bf;31f;355;83e4;
c4;318;351;898c;
c9;316;352;8f30;
ce;313;350;94d4;
d3;311;350;9a78;
d7;30e;34f;a020;
db;30e;34d;a5c4;
de;30e;348;ab68;
e1;30d;348;b10c;
e2;30e;343;b6b4;
e4;30d;341;bc58;
e5;30e;342;c1fc;
e4;30a;33e;c7a0;
e5;30e;33b;cd48;
e5;30d;33b;d2ec;
e3;30a;338;d890;
e2;30e;333;de34;
e0;30c;332;e3dc;
dd;309;332;e980;
d9;30e;32d;ef24;
d6;30d;32d;f4c8;
d3;30b;32b;fa70;
cd;30d;326;18;
c9;30c;323;510;
c4;30d;326;a60;
bf;310;321;fb0;
b9;30d;31f;1500;
b3;30e;31e;1aa4;
ad;30c;320;2048;
a6;30c;31d;25ec;
9e;30c;31e;2b94;
97;30a;31c;3138;
90;30c;317;36dc;
88;30b;31d;3c80;
82;30b;31b;4228;
7a;30e;31c;47cc;
72;30c;31c;4d70;
6b;30b;31c;5314;
64;30d;31b;58bc;
5d;30f;31f;5e60;
56;30c;31a;640c;
4f;30c;31d;69a8;
49;30c;31f;6f50;
43;30e;31f;74f4;
3d;312;31f;7a98;
37;30e;326;803c;
32;312;325;85e4;
2d;315;325;8b88;
29;317;329;912c;
26;319;32b;96d0;
21;31c;32d;9c78;
20;31e;32f;a21c;
1d;31e;332;a7c0;
1b;327;331;ad64;
1b;327;335;b30c;
1a;327;338;b8b0;
18;32c;339;be54;
18;32e;33c;c3f8;
1a;32f;33e;c9a0;
1a;332;33e;cf44;
1d;334;343;d4e8;
20;336;344;da8c;
22;335;348;e034;
25;335;347;e5d8;
2a;336;34b;eb7c;
2e;338;34a;f120;
33;331;34d;f6c8;
38;336;34d;fc6c;
3e;337;350;210;
44;336;34e;760;
48;337;355;cb0;
4e;337;352;1200;
55;334;355;17a4;
5d;337;353;1d4c;
63;336;354;22f0;
6b;331;359;2894;
73;32d;356;2e38;
7a;330;353;33e0;
81;32b;355;3984;
89;32d;358;3f28;
90;32a;358;44cc;
98;328;358;4a74;
9f;327;358;501c;
a5;322;356;55bc;
ac;322;358;5b60;
b3;320;356;6108;
b9;31e;355;66ac;
bf;31a;356;6c50;
c5;31e;354;71f4;
c9;314;354;779c;
cf;314;34f;7d40;
d3;312;34f;82e4;
d7;311;34f;8888;
db;310;34a;8e30;
de;30e;34a;93d4;
e0;30b;345;9978;
e2;30d;344;9f1c;
e4;30c;342;a4c4;
e5;30e;33e;aa68;
e6;30c;33f;b014;
e5;30b;33e;b5b0;
e5;30d;338;bb58;
e4;30b;336;c0fc;
e1;30d;335;c6a0;
df;30e;332;cc44;
dd;30a;331;d1ec;
da;30f;32e;d790;
d6;30e;32d;dd34;
d2;30d;32a;e2d8;
ce;30c;329;e880;
c8;30c;321;ee24;
c3;30e;324;f3c8;
be;30e;320;f96c;
b7;30c;320;ff14;
