;04;31a;b1f4;
e5;308;33d;f2fc;
e3;306;335;f8a4;
e3;306;338;fe48;
e2;305;334;3ec;
e0;304;331;93c;
dc;306;32b;e8c;
da;305;32e;13dc;
d6;305;32a;1980;
d3;305;328;1f28;
cc;308;327;24cc;
c8;307;324;2a70;
c3;305;322;301c;
be;304;31e;35bc;
b7;306;31f;3b60;
b1;304;321;4104;
aa;303;31c;46a8;
a3;306;31b;4c50;
9d;304;31c;51f4;
96;304;31a;5798;
8e;306;319;5d3c;
86;305;31a;62e4;
80;305;31a;6888;
78;306;319;6e2c;
71;304;319;73d0;
69;306;31c;7978;
61;304;31b;7f1c;
5a;303;31b;84c0;
54;305;31c;8a64;
4d;307;31d;9010;
46;306;31d;95b0;
41;307;320;9b54;
3b;30a;31f;a0f8;
35;309;323;a6a0;
31;30b;325;ac44;
2c;310;323;b1e8;
28;311;325;b78c;
24;316;328;bd34;
21;318;32c;c2d8;
1f;31a;32e;c87c;
1d;320;32f;ce20;
1b;322;333;d3c8;
19;321;336;d96c;
1a;326;337;df10;
19;328;338;e4b4;
19;327;33c;ea5c;
1b;32e;33f;f004;
1c;331;33d;f5a4;
1d;32e;342;fb48;
20;331;344;f0;
23;331;346;5e8;
27;338;343;b38;
29;335;348;1088;
2e;331;34d;1630;
34;336;34c;1bd4;
38;336;34e;2178;
3d;333;350;271c;
44;333;351;2cc4;
4a;336;351;3268;
51;333;356;3814;
57;331;353;3db0;
5d;32e;353;4358;
66;32e;355;48fc;
6d;32e;354;4ea0;
74;32e;355;5444;
7c;32a;356;59ec;
83;329;357;5f90;
8a;32a;358;6534;
91;324;357;6ad8;
99;322;355;7080;
a0;321;355;7624;
a7;31c;357;7bc8;
ad;319;356;816c;
b3;318;354;8714;
ba;312;355;8cb8;
bf;313;356;925c;
c5;30d;354;9808;
cb;30c;351;9da8;
ce;30b;350;a34c;
d3;309;34f;a8f0;
d7;307;34c;ae94;
da;308;349;b43c;
df;305;346;b9e0;
e1;308;348;bf84;
e3;305;345;c528;
e4;306;342;cad0;
e5;303;344;d074;
e6;305;33e;d618;
e5;306;33c;dbbc;
e4;305;338;e164;
e3;306;336;e708;
e2;306;335;ecac;
df;306;331;f250;
dd;301;32f;f7f8;
d8;304;32a;fd9c;
d4;304;32a;340;
d0;307;327;890;
cc;308;325;de0;
c8;307;322;1330;
c2;30a;324;18d4;
bc;308;31f;1e7c;
b5;308;31f;2420;
b0;30a;31d;29c4;
aa;30a;31c;2f68;
a3;309;31e;3510;
9b;30b;31d;3ab4;
95;308;316;4058;
8d;309;31a;45fc;
86;30b;319;4ba4;
7e;309;31c;5148;
77;307;31b;56ec;
70;309;31b;5c90;
68;30c;319;6238;
62;306;31b;67dc;
5b;308;31c;6d80;
53;30a;31b;7324;
4e;308;31c;78cc;
47;30b;31e;7e70;
41;308;31f;841c;
3b;30e;323;89b8;
36;30c;324;8f60;
30;30e;323;9504;
2b;311;326;9aa8;
28;311;328;a04c;
23;312;329;a5f4;
21;312;32a;ab98;
1e;317;32f;b13c;
1c;31e;32e;b6e0;
1b;31e;333;bc88;
19;321;334;c22c;
19;327;338;c7d0;
18;328;33a;cd74;
19;32b;339;d31c;
1a;32d;33d;d8c0;
1c;32e;340;de64;
1e;331;342;e410;
21;334;343;e9b0;
24;331;346;ef54;
28;332;34c;f4f8;
2a;332;349;fa9c;
30;334;34b;44;
35;332;34c;53c;
39;334;34c;a8c;
3f;333;34f;fdc;
43;332;352;152c;
4a;333;353;1ad4;
51;334;351;2078;
57;330;354;261c;
5e;32f;354;2bc0;
65;32e;354;3168;
6d;32d;356;370c;
75;32d;356;3cb0;
7c;32b;356;4254;
82;328;355;47fc;
8b;327;356;4da0;
92;324;359;5344;
99;324;357;58e8;
a1;31e;356;5e90;
a7;31a;355;6434;
ae;31c;355;69d8;
b4;316;355;6f7c;
bb;315;353;7524;
c0;314;356;7ac8;
c6;30f;34f;806c;
ca;30d;353;8610;
cf;30d;350;8bb8;
d4;30e;34e;915c;
d7;30a;34d;9700;
db;309;34a;9ca4;
dd;30a;347;a24c;
df;307;343;a7f0;
e2;306;342;ad94;
e4;306;342;b338;
e5;309;340;b8e0;
e5;308;33b;be84;
e5;307;33b;c428;
e4;308;337;c9cc;
e3;305;336;cf74;
e2;306;333;d518;
df;308;331;dabc;
dc;306;32e;e060;
d8;309;329;e608;
d5;309;32b;ebac;
d1;307;327;f150;
cc;308;323;f6f4;
c7;308;324;fc9c;
c1;305;322;240;
bc;306;321;790;
b7;306;320;ce0;
b0;305;321;1230;
aa;309;31d;17d4;
a2;305;31b;1d78;
9b;306;319;2320;
95;307;31a;28c4;
8d;309;319;2e68;
86;306;31a;3414;
7f;30a;317;39b4;
76;307;31b;3f58;
70;303;31e;44fc;
69;303;31b;4aa0;
61;306;319;5048;
5a;307;31b;55ec;
54;307;31a;5b90;
4d;308;31c;6134;
46;307;31f;66dc;
40;309;323;6c80;
3b;30a;321;7224;
35;30d;320;77c8;
30;30f;326;7d70;
2b;30e;326;8314;
27;310;32a;88b8;
24;315;32b;8e5c;
21;317;32f;9408;
1e;318;32e;99a8;
1c;31f;330;9f4c;
1a;322;332;a4f0;
1a;322;332;aa98;
19;327;337;b03c;
18;32a;339;b5e0;
19;32f;33c;bb84;
1b;32e;340;c12c;
1b;32f;33f;c6d0;
1f;330;33f;cc74;
22;332;343;d218;
23;333;343;d7c0;
28;334;346;dd64;
2b;333;34c;e308;
30;335;34b;e8ac;
35;335;34c;ee54;
3b;333;34f;f3f8;
40;334;34e;f99c;
46;339;350;ff40;
4c;336;352;4e8;
53;335;356;a38;
58;334;354;f88;
5f;331;355;14d8;
67;330;355;1a7c;
6d;331;359;2020;
75;32d;355;25c4;
7d;328;357;2b6c;
84;328;355;3110;
8c;325;355;36b4;
93;322;355;3c58;
9b;321;358;4200;
a1;321;354;47a4;
a8;31d;351;4d48;
af;318;356;52ec;
b5;315;356;5894;
bb;312;351;5e38;
c1;311;354;63dc;
c7;311;352;6980;
cc;30b;34f;6f28;
d1;30d;34e;74cc;
d4;30b;34d;7a70;
d9;308;34b;801c;
dc;307;349;85bc;
df;306;346;8b60;
e0;308;342;9104;
e3;307;345;96a8;
e5;306;344;9c50;
e5;305;33d;a1f4;
e6;308;33b;a798;
e6;30a;33d;ad3c;
e4;308;338;b2e4;
e3;308;337;b888;
e1;307;336;be2c;
df;306;331;c3d0;
dc;305;32d;c978;
d8;30b;32b;cf1c;
d5;309;32a;d4c0;
d0;309;327;da64;
cc;305;322;e010;
c6;307;322;e5b0;
c1;307;322;eb54;
bb;306;320;f0f8;
b5;308;31d;f6a0;
ae;304;320;fc44;
a8;305;31e;1e8;
a1;305;31f;738;
99;306;31d;c88;
94;308;319;11d8;
8c;306;319;177c;
85;305;31c;1d24;
7d;303;31a;22c8;
76;305;318;286c;
6d;306;31b;2e10;
67;306;31d;33b8;
60;305;318;395c;
59;309;31d;3f00;
52;303;31d;44a4;
4b;307;31c;4a4c;
45;30b;31d;4ff0;
3f;307;31f;5594;
3a;30d;31f;5b38;
34;30c;325;60e0;
30;30d;328;6684;
2b;30f;323;6c28;
27;314;32a;71cc;
23;315;329;7774;
20;317;329;7d18;
1e;319;331;82bc;
1c;31f;330;8860;
1a;326;333;8e08;
1a;326;337;93ac;
18;329;337;9950;
19;32d;33b;9ef4;
1a;32f;33b;a49c;
1b;32f;33e;aa40;
1c;32f;341;afe4;
1e;331;341;b588;
21;333;345;bb30;
24;332;348;c0d4;
27;334;34b;c678;
2d;334;349;cc20;
31;334;34d;d1c4;
35;335;352;d768;
3c;335;34f;dd0c;
41;336;352;e2b0;
47;334;353;e858;
4e;335;354;edfc;
53;334;351;f3a0;
5b;330;356;f944;
62;332;352;feec;
69;32f;355;490;
70;32e;357;9e0;
76;32d;359;f30;
7e;329;355;1480;
86;328;356;1a24;
8c;325;357;1fc8;
94;322;354;2570;
9b;31c;356;2b14;
a3;31f;354;30b8;
a9;31c;355;365c;
b0;317;354;3c08;
b6;316;355;41a8;
bc;313;351;474c;
c1;312;353;4cf0;
c8;310;34f;5298;
cc;30d;34f;583c;
d1;30d;350;5de0;
d6;30e;34e;6384;
d9;30b;34a;692c;
dc;30a;34a;6ed0;
e0;30a;34a;7474;
e1;308;345;7a18;
e4;307;343;7fc0;
e4;307;345;8564;
e5;307;33e;8b08;
e6;308;33c;90ac;
e5;308;337;9654;
e4;307;337;9bf8;
e3;308;335;a19c;
e1;304;336;a740;
de;307;32e;ace8;
dc;308;32e;b28c;
d8;309;32c;b830;
d4;308;329;bdd4;
d0;304;326;c37c;
cb;307;326;c920;
c5;30a;322;cec4;
c0;306;320;d468;
ba;306;31f;da10;
b3;30a;31b;dfb4;
ac;306;31b;e558;
a7;30a;31a;eafc;
9f;305;31b;f0a4;
98;307;317;f648;
91;305;31a;fbec;
89;307;31a;190;
82;305;31b;6e0;
7b;308;31b;c30;
74;306;319;1180;
6d;307;31b;1728;
67;305;31c;1ccc;
5f;306;31b;2270;
58;307;31a;281c;
51;306;31d;2dbc;
4b;308;31f;3360;
45;308;31f;3904;
3f;30b;320;3ea8;
38;30c;321;4450;
33;30a;322;49f4;
2e;311;326;4f98;
2a;310;326;553c;
26;310;329;5ae4;
23;315;32d;6088;
20;319;32d;662c;
1d;31e;32f;6bd0;
1b;31f;330;7178;
1a;322;332;771c;
19;323;335;7cc0;
18;327;337;8264;
19;32c;33a;8810;
19;329;33c;8db0;
1a;32f;33e;9354;
1c;332;33d;98f8;
1f;331;345;9ea0;
22;333;344;a444;
25;334;345;a9e8;
28;336;348;af8c;
2d;337;34b;b534;
31;336;34d;bad8;
37;337;34e;c07c;
3c;334;34e;c620;
42;336;350;cbc8;
48;334;354;d16c;
4f;334;353;d710;
55;333;353;dcb4;
5c;331;354;e25c;
63;330;352;e804;
6a;32d;355;eda4;
71;32f;359;f348;
79;32b;358;f8f0;
80;32a;353;fe94;
87;325;357;438;
8e;325;356;988;
95;320;358;ed8;
9c;31f;356;1428;
a4;31d;357;19cc;
aa;31c;355;1f74;
b1;317;354;2518;
b8;315;353;2abc;
be;311;354;3060;
c3;310;354;3608;
c9;310;34f;3bac;
cd;30f;34e;4150;
d1;30c;34f;46f4;
d6;30b;34b;4c9c;
da;309;34c;5240;
dd;30b;34b;57e4;
df;306;346;5d88;
e1;307;344;6330;
e4;305;342;68d4;
e5;306;341;6e78;
e5;308;340;7420;
e6;308;33a;79c4;
e5;305;33b;7f68;
e3;306;336;850c;
e2;306;339;8ab0;
e0;306;332;9058;
dd;308;32e;95fc;
db;308;32e;9ba0;
d7;308;32c;a144;
d3;306;328;a6ec;
cf;309;325;ac90;
ca;307;321;b234;
c4;306;320;b7d8;
be;305;31e;bd80;
b9;30b;321;c324;
b3;307;31d;c8c8;
ac;305;31d;ce6c;
a5;305;31b;d418;
9e;307;318;d9b8;
97;309;31b;df5c;
90;307;31b;e500;
88;307;319;eaa8;
81;305;31a;f04c;
7a;307;31c;f5f0;
72;307;317;fb94;
6b;306;31a;13c;
64;307;31c;68c;
5e;307;31b;bdc;
57;305;31d;112c;
50;308;31c;16d0;
4a;307;31b;1c74;
43;309;31f;2218;
3d;308;31f;27c0;
38;30a;321;2d64;
33;30e;324;3308;
2e;30e;325;38ac;
2a;311;326;3e54;
26;311;32b;43f8;
23;316;32c;499c;
1f;31a;32f;4f40;
1e;31c;332;54e8;
1c;31e;330;5a8c;
1a;324;334;6030;
19;325;335;65d4;
18;327;339;6b7c;
18;32c;33a;7120;
1a;32d;33d;76c4;
1b;32e;340;7c68;
1c;332;341;8210;
1f;331;345;87b4;
22;332;346;8d58;
25;338;348;92fc;
2a;335;348;98a4;
2e;335;34c;9e48;
32;334;34b;a3ec;
37;335;34e;a990;
3d;336;34f;af38;
43;336;352;b4dc;
49;336;353;ba80;
4f;336;353;c024;
56;334;355;c5cc;
5d;332;354;cb70;
63;32f;357;d114;
6b;330;358;d6b8;
73;32d;358;dc60;
7a;330;358;e204;
81;329;354;e7a8;
89;328;357;ed4c;
91;323;356;f2f4;
98;320;356;f898;
9f;320;357;fe3c;
a6;31b;356;3e0;
ac;31a;355;930;
b3;314;358;e80;
b8;315;355;13d0;
be;313;351;1978;
c4;311;353;1f1c;
ca;30e;354;24c0;
cd;30e;34d;2a64;
d2;306;34e;3010;
d7;307;34c;35b0;
da;308;349;3b54;
dc;30b;349;40f8;
e0;306;346;46a0;
e2;308;343;4c44;
e3;307;345;51e8;
e5;309;340;578c;
e5;308;33e;5d34;
e5;306;33e;62d8;
e5;30a;336;687c;
e4;308;337;6e20;
e3;306;335;73c8;
e0;308;331;796c;
dd;30a;32c;7f10;
da;305;32e;84b4;
d6;306;32a;8a5c;
d2;307;327;9004;
ce;307;328;95a4;
c9;305;326;9b48;
c4;307;321;a0f0;
be;306;320;a694;
b8;308;321;ac38;
b2;30a;31c;b1dc;
ab;305;31b;b784;
a4;309;31d;bd28;
9c;306;31a;c2cc;
94;305;31b;c870;
8e;306;31a;ce18;
87;306;317;d3bc;
80;308;31a;d960;
79;306;31a;df04;
70;306;31e;e4ac;
69;305;31b;ea50;
62;307;31a;eff4;
5c;30a;319;f598;
54;305;31f;fb40;
4e;307;31d;e4;
48;308;31e;5e0;
42;308;320;b30;
3d;30b;321;1080;
38;30b;320;1624;
32;30d;324;1bc8;
2d;30f;325;216c;
2a;30e;32a;2714;
26;312;32a;2cb8;
22;317;32e;325c;
20;319;32c;3808;
1d;31b;330;3da8;
1b;320;330;434c;
19;324;334;48f0;
19;325;338;4e94;
19;328;33a;543c;
19;32b;33f;59e0;
19;32e;33c;5f84;
1a;331;33f;6528;
1d;32f;344;6ad0;
1f;335;344;7074;
22;334;341;7618;
26;334;347;7bbc;
2a;334;347;8164;
2e;334;348;8708;
33;335;34d;8cac;
38;331;34c;9250;
3d;333;34f;97f8;
44;335;351;9d9c;
4a;337;352;a340;
50;334;351;a8e4;
57;331;354;ae8c;
5d;331;356;b430;
65;331;354;b9d4;
6c;32f;357;bf78;
73;32b;356;c520;
7b;32a;356;cac4;
82;329;356;d068;
8a;327;355;d60c;
90;322;355;dbb4;
99;321;355;e158;
a0;31f;355;e6fc;
a6;31f;357;eca0;
ad;317;357;f248;
b4;316;355;f7ec;
ba;316;351;fd90;
c0;314;355;334;
c6;311;353;884;
ca;312;351;dd4;
cf;30d;34f;1324;
d3;30c;34e;18cc;
d7;30a;34c;1e70;
db;30a;34a;241c;
dd;309;34a;29b8;
e1;309;345;2f60;
e2;309;343;3504;
e4;307;343;3aa8;
e4;307;340;404c;
e5;308;33c;45f4;
e4;306;33c;4b98;
e3;306;337;513c;
e2;307;335;56e0;
e2;307;333;5c88;
df;308;331;622c;
dd;306;332;67d0;
da;309;32e;6d74;
d5;308;32b;731c;
d1;307;327;78c0;
cd;309;326;7e64;
c8;305;324;8410;
c3;304;322;89b0;
be;30a;320;8f54;
b7;307;31e;94f8;
b1;306;31f;9a9c;
ab;306;31b;a044;
a3;306;31e;a5e8;
9d;306;31b;ab8c;
95;306;31d;b130;
8e;307;31a;b6d8;
86;306;319;bc7c;
7f;304;31a;c220;
77;306;317;c7c4;
70;305;31a;cd6c;
69;306;31c;d310;
62;306;31b;d8b4;
5a;306;31b;de58;
54;309;31d;e400;
4d;308;31d;e9a4;
47;306;320;ef48;
41;309;320;f4ec;
3b;30a;31f;fa94;
36;30c;323;38;
31;30b;323;534;
2d;30e;325;a84;
28;30e;328;fd4;
26;313;32a;1524;
22;315;32d;1ac8;
1f;318;32d;206c;
1c;319;330;2610;
1a;31e;334;2bb8;
19;322;335;315c;
19;324;335;3700;
1a;328;338;3ca4;
18;32d;33a;424c;
1a;32c;33f;47f0;
1c;330;340;4d94;
1e;332;33f;5338;
20;330;341;58e0;
23;333;345;5e84;
26;334;345;6428;
29;336;349;69cc;
2e;333;349;6f74;
33;336;34b;7518;
38;336;34f;7abc;
3e;335;352;8060;
43;336;351;8608;
4a;334;354;8bac;
50;335;352;9150;
57;334;353;96f4;
5e;331;358;9c9c;
66;331;356;a240;
6c;32e;355;a7e4;
74;32c;357;ad88;
7b;32a;356;b330;
82;329;359;b8d4;
8a;326;356;be78;
91;323;356;c420;
98;321;356;c9c4;
9f;31e;356;cf68;
a6;320;355;d50c;
ad;317;355;dab0;
b4;316;357;e058;
ba;313;353;e5fc;
bf;310;34e;eba0;
c6;30f;351;f144;
cb;30f;34f;f6ec;
d0;30d;34d;fc90;
d4;30b;350;234;
d8;308;34b;784;
db;309;34c;cd4;
de;309;34b;1224;
e1;304;345;17c8;
e2;307;346;1d70;
e3;308;342;2314;
e5;307;342;28b8;
e5;308;33e;2e5c;
e5;308;33b;3408;
e5;306;338;39a8;
e3;306;336;3f4c;
e1;306;332;44f0;
df;305;332;4a98;
dc;305;32f;503c;
da;306;32e;55e0;
d5;303;32b;5b84;
d1;309;327;612c;
cc;305;325;66d0;
c8;309;324;6c74;
c3;307;323;7218;
be;307;322;77c0;
b7;306;31d;7d64;
b0;308;31b;8308;
aa;308;31d;88ac;
a3;306;319;8e54;
9c;307;31d;93f8;
95;303;31b;999c;
8e;306;31b;9f40;
86;307;31a;a4e8;
7f;304;31a;aa8c;
78;304;31a;b030;
70;306;319;b5d4;
69;306;31c;bb7c;
62;308;31c;c120;
5a;308;31a;c6c4;
53;308;31e;cc68;
4d;307;31d;d210;
47;30a;31c;d7b4;
40;309;31d;dd58;
3b;309;321;e2fc;
34;30b;320;e8a4;
30;30c;325;ee48;
2c;30e;324;f3ec;
28;310;328;f990;
24;312;32c;ff38;
22;317;32a;4dc;
1e;319;32e;a2c;
1c;31d;32d;f7c;
1b;31f;331;14cc;
19;326;335;1a70;
19;327;337;201c;
18;329;338;25bc;
19;32c;33b;2b60;
1a;32e;33d;3104;
1c;331;341;36a8;
1d;332;342;3c50;
20;331;344;41f4;
24;333;344;4798;
26;335;345;4d3c;
2b;333;349;52e4;
2f;337;34c;5888;
33;335;34c;5e2c;
39;336;34d;63d0;
3f;333;34f;6978;
45;336;351;6f1c;
4a;335;351;74c0;
52;334;353;7a64;
58;334;354;8010;
5f;32f;353;85b0;
67;32f;355;8b54;
6e;330;359;90f8;
75;32f;357;96a0;
7c;32b;359;9c44;
84;329;357;a1e8;
8b;326;355;a78c;
93;322;356;ad34;
9a;31e;359;b2d8;
a1;31d;356;b87c;
a8;31d;356;be20;
af;318;353;c3c8;
b5;319;355;c96c;
bb;312;354;cf10;
c0;311;351;d4b4;
c5;309;351;da5c;
cb;30e;34f;e004;
d0;30c;34e;e5a4;
d3;30a;34e;eb48;
d8;309;350;f0f0;
db;309;349;f694;
df;309;34b;fc38;
e0;30a;345;1dc;
e3;306;347;72c;
e4;308;33e;c7c;
e5;308;340;11cc;
e4;307;33f;1774;
e5;307;33c;1d18;
e5;308;33b;22bc;
e3;309;336;2860;
e1;307;334;2e08;
e0;305;334;33ac;
dc;305;32d;3950;
d9;309;32d;3ef4;
d5;307;32a;449c;
d1;307;328;4a40;
cd;30b;329;4fe4;
c7;305;323;5588;
c2;307;321;5b30;
bc;305;31f;60d4;
b6;307;321;6678;
ae;306;31a;6c20;
a9;305;31b;71c4;
a2;306;318;7768;
9b;305;319;7d0c;
94;307;31b;82b0;
8c;307;319;8858;
85;306;31b;8dfc;
7d;306;31b;93a0;
76;305;319;9944;
6e;308;317;9eec;
68;306;31b;a490;
61;305;31b;aa34;
5a;307;31c;afd8;
53;304;31c;b580;
4c;306;31d;bb24;
45;30a;31b;c0c8;
40;308;31f;c66c;
39;30b;320;cc18;
34;30f;321;d1b8;
30;30e;324;d75c;
2b;311;322;dd00;
27;312;327;e2a8;
24;313;32a;e84c;
21;318;32c;edf0;
1d;31a;32c;f394;
1c;31c;32f;f93c;
1a;322;334;fee0;
19;324;338;484;
19;327;336;9d4;
19;328;33c;f24;
19;32c;339;1474;
1a;330;33b;1a18;
1c;330;340;1fc0;
1e;335;343;2564;
20;333;343;2b08;
24;331;345;30ac;
27;337;347;3654;
2b;338;349;3bf8;
30;334;34d;419c;
35;333;34d;4740;
3a;335;34f;4ce8;
3f;334;351;528c;
46;335;352;5830;
4c;333;352;5dd4;
52;337;353;637c;
59;333;355;6920;
61;32f;356;6ec4;
68;32f;354;7468;
6e;32e;354;7a10;
76;329;355;7fb4;
7e;329;35a;8558;
85;327;355;8afc;
8c;324;357;90a4;
93;322;35a;9648;
9b;322;354;9bec;
a2;31e;359;a190;
a9;31a;356;a738;
b0;319;356;acdc;
b6;317;353;b280;
bd;314;352;b824;
c1;312;352;bdcc;
c8;311;353;c370;
cd;311;351;c914;
d1;30d;34f;ceb8;
d6;30c;351;d460;
d8;30b;34c;da04;
dd;309;349;dfa8;
df;30c;348;e54c;
e2;306;343;eaf4;
e3;307;341;f098;
e4;304;340;f63c;
e5;305;342;fbe0;
e6;309;33d;188;
e5;306;33a;6d8;
e5;307;33c;c28;
e2;306;336;1178;
e1;309;336;171c;
df;306;331;1cc0;
dc;305;32f;2264;
d8;306;32c;2810;
d4;306;32a;2db0;
d0;306;323;3354;
cc;307;326;38f8;
c7;305;324;3ea0;
c1;305;31e;4444;
bb;308;320;49e8;
b4;307;31d;4f8c;
ae;307;31c;5534;
a7;309;31b;5ad8;
a1;305;31b;607c;
9a;305;316;6620;
93;306;319;6bc8;
8c;304;31c;716c;
84;30a;319;7710;
7d;301;31c;7cb4;
75;308;317;825c;
6e;305;319;8804;
66;305;31d;8da4;
5f;307;31a;9348;
58;30a;31b;98f0;
52;306;31f;9e94;
4b;309;321;a438;
45;30a;31d;a9dc;
3f;305;31f;af84;
3a;30b;320;b528;
34;30c;325;bacc;
2f;312;327;c070;
2c;312;325;c618;
26;311;32a;cbbc;
23;314;32b;d160;
1f;314;32c;d704;
1e;31b;32f;dcac;
1c;31c;32f;e250;
1b;320;334;e7f4;
18;324;333;ed98;
18;327;33a;f340;
19;326;33d;f8e4;
19;32b;339;fe88;
1b;32f;33b;42c;
1b;32e;340;97c;
1e;331;341;ecc;
21;331;344;1420;
24;332;348;19c4;
27;336;349;1f68;
2b;334;34b;250c;
30;336;34c;2ab0;
35;333;34c;3058;
3b;335;351;35fc;
40;333;354;3ba0;
46;336;351;4144;
4d;333;354;46ec;
54;332;354;4c90;
5a;333;354;5234;
61;333;355;57d8;
69;32f;354;5d80;
70;32c;356;6324;
77;32f;354;68c8;
7f;32c;356;6e6c;
86;328;355;7418;
8e;323;356;79b8;
94;324;357;7f5c;
9c;321;351;8500;
a3;31b;35a;8aa8;
a9;31b;355;904c;
b1;317;354;95f0;
b7;313;355;9b94;
bd;311;353;a13c;
c2;311;353;a6e0;
c8;30e;353;ac84;
cd;30c;350;b228;
d3;30d;34d;b7d0;
d6;30a;34e;bd74;
d9;30b;34c;c318;
dc;308;347;c8bc;
df;308;348;ce64;
e1;308;341;d40c;
e4;307;341;d9ac;
e5;308;345;df50;
e6;307;340;e4f8;
e4;306;33a;ea9c;
e4;307;337;f040;
e4;307;335;f5e4;
e1;307;336;fb8c;
e0;307;334;130;
de;306;32f;680;
db;307;32e;bd0;
d7;305;32d;1120;
d4;308;32a;16c4;
d0;307;327;1c68;
cb;30a;326;2210;
c6;307;321;27b4;
c0;309;31e;2d58;
ba;308;31f;32fc;
b4;308;31d;38a4;
ae;308;31c;3e48;
a6;306;31c;43ec;
9f;304;319;4990;
98;307;317;4f38;
91;308;31a;54dc;
8b;307;31e;5a80;
82;306;31a;6024;
7b;308;31c;65cc;
74;308;31c;6b70;
6c;306;31b;7114;
65;306;31b;76b8;
5f;308;31b;7c60;
57;307;31b;8204;
4f;306;31d;87a8;
49;30b;31d;8d4c;
43;30a;31f;92f4;
3e;309;322;9898;
39;30b;323;9e3c;
33;30e;323;a3e0;
2e;30c;327;a988;
2a;30f;328;af2c;
26;314;325;b4d0;
22;315;32c;ba74;
20;319;32d;c020;
1d;31d;330;c5c0;
1b;321;32f;cb64;
1a;323;336;d108;
19;326;337;d6b0;
1a;327;337;dc54;
19;32b;339;e1f8;
19;32d;33b;e79c;
1b;32b;33e;ed44;
1d;331;33f;f2e8;
1f;334;341;f88c;
22;334;343;fe30;
25;332;346;3d8;
29;333;345;928;
2d;335;34a;e78;
31;333;34d;13c8;
36;336;34f;196c;
3b;335;34f;1f10;
41;332;350;24b4;
47;338;350;2a5c;
4e;334;352;3004;
55;333;354;35a4;
5b;333;354;3b48;
62;331;356;40f0;
69;331;358;4694;
71;32d;355;4c38;
78;32b;356;51dc;
80;32a;357;5784;
87;328;359;5d28;
8f;323;357;62cc;
96;31f;353;6870;
9d;31e;354;6e18;
a4;317;357;73bc;
ab;317;356;7960;
b1;316;353;7f04;
b8;314;352;84ac;
be;311;351;8a50;
c4;311;352;8ff4;
c8;310;352;9598;
ce;30d;34f;9b40;
d2;30b;34b;a0e4;
d6;30d;34f;a688;
da;30b;34c;ac2c;
dc;30b;34a;b1d4;
e0;30a;346;b778;
e2;309;345;bd1c;
e4;309;343;c2c0;
e5;308;340;c868;
e5;307;33f;ce0c;
e4;307;33c;d3b0;
e5;305;339;d954;
e4;308;337;defc;
e2;30a;32f;e4a0;
df;306;332;ea44;
de;307;32e;efe8;
da;306;32c;f590;
d6;304;32a;fb34;
d2;304;329;d8;
cf;308;326;5d4;
c9;302;324;b24;
c5;308;324;1074;
c0;307;323;1618;
ba;306;320;1bbc;
b2;308;31e;2164;
ad;306;31d;2708;
a6;308;31b;2cac;
a0;30b;31c;3250;
98;307;31d;37f8;
91;307;318;3d9c;
89;307;318;4340;
82;303;31b;48e4;
7a;30a;319;4e8c;
72;306;319;5430;
6c;305;31c;59d4;
64;304;31c;5f78;
5e;306;31a;6520;
57;308;31c;6ac4;
4f;308;31e;7068;
49;307;321;760c;
44;307;322;7bb4;
3e;309;321;8158;
37;30c;323;86fc;
32;30c;327;8ca0;
2e;30f;326;9248;
29;311;328;97ec;
26;314;329;9d90;
22;313;32a;a334;
1f;31a;32e;a8dc;
1c;31b;332;ae80;
1b;320;332;b424;
1a;323;333;b9c8;
19;326;339;bf70;
19;32a;338;c514;
18;32a;337;cab8;
1a;32d;33b;d05c;
1c;32f;33f;d604;
1b;333;341;dba8;
20;333;342;e14c;
23;333;347;e6f0;
25;334;346;ec98;
2a;332;34a;f23c;
2e;331;34c;f7e0;
33;336;34c;fd84;
38;335;351;32c;
3d;336;34f;87c;
43;335;350;dcc;
49;335;351;131c;
4f;333;354;18c0;
55;332;353;1e64;
5c;331;354;2410;
63;32e;358;29b0;
6a;32f;355;2f54;
71;32d;355;34f8;
79;32b;356;3a9c;
80;32a;359;4044;
87;327;356;45e8;
8f;325;355;4b8c;
96;324;353;5130;
9e;321;357;56d8;
a4;31c;355;5c7c;
ab;31a;354;6220;
b2;315;355;67c4;
b9;314;353;6d6c;
be;312;353;7310;
c4;311;353;78b4;
c9;30e;351;7e58;
ce;30e;34f;8400;
d3;30c;34f;89a4;
d7;309;34f;8f48;
da;308;349;94ec;
dd;30a;34c;9a94;
e0;307;348;a038;
e2;308;344;a5dc;
e4;308;342;ab80;
e5;305;340;b128;
e4;30a;33d;b6cc;
e5;307;339;bc70;
e5;30b;338;c214;
e2;306;337;c7bc;
e1;308;334;cd60;
e0;308;330;d304;
de;30a;32e;d8a8;
da;307;32c;de50;
d6;305;32c;e3f4;
d2;306;326;e998;
cd;305;326;ef3c;
c9;308;323;f4e4;
c4;307;320;fa88;
be;306;320;2c;
b8;307;320;528;
b3;307;31d;a78;
ad;305;31e;fc8;
a6;306;31b;1518;
9f;307;31c;1abc;
97;30a;319;2060;
90;306;31b;2608;
8a;306;318;2bac;
82;307;319;3150;
7a;305;31c;36f4;
73;306;319;3c9c;
6c;307;319;4240;
65;307;31e;47e4;
5e;303;31e;4d88;
56;306;31d;5330;
4f;309;31c;58d4;
49;308;31e;5e78;
43;309;31d;6420;
