d2f4;315;e700;
a4;305;31c;6f58;
a2;308;319;74fc;
a0;308;31b;7aa0;
9f;309;317;8048;
9e;308;319;85ec;
9c;308;319;8b90;
9b;306;31a;9134;
99;307;318;96dc;
98;308;31b;9c80;
97;309;31a;a224;
96;309;31b;a7cc;
94;308;31d;ad70;
93;308;31a;b314;
91;308;319;b8b8;
90;305;31b;be5c;
8f;309;317;c408;
8d;307;31b;c9a8;
8c;308;319;cf4c;
8a;305;319;d4f0;
88;308;319;da98;
86;303;31d;e03c;
86;308;31b;e5e0;
83;307;31b;eb84;
82;307;31c;f12c;
81;307;31b;f6d0;
7f;308;31b;fc74;
7e;308;31c;218;
7d;308;31e;768;
7c;308;31c;cbc;
7a;305;31d;120c;
78;306;31e;17b0;
77;308;31d;1d54;
75;308;31d;22f8;
73;309;320;28a0;
72;304;31f;2e44;
70;306;323;33e8;
70;308;321;398c;
6e;306;320;3f30;
6c;309;323;44d8;
6b;305;324;4a7c;
6a;307;324;5020;
69;308;326;55c4;
67;308;328;5b6c;
66;30a;328;6110;
64;307;325;66b4;
63;305;329;6c58;
60;308;329;7200;
5f;305;32c;77a4;
5e;308;32b;7d48;
5c;309;32b;82ec;
5b;308;32d;8894;
5a;306;32e;8e38;
58;307;32c;93dc;
58;309;32f;9984;
56;308;32f;9f28;
54;308;330;a4cc;
53;308;332;aa70;
52;30b;330;b01c;
50;30c;333;b5bc;
4f;309;333;bb60;
4e;307;334;c104;
4c;30a;337;c6ac;
4c;30b;338;cc50;
4a;30b;338;d1f4;
48;30d;338;d798;
47;30c;33b;dd3c;
46;30b;339;e2e4;
44;30c;33d;e888;
44;30c;33a;ee2c;
42;30b;33c;f3d0;
41;312;33b;f978;
40;310;33e;ff1c;
3f;311;33f;4c0;
3e;314;341;a10;
3d;317;341;f60;
3d;317;342;14b0;
3b;318;340;1a54;
3a;319;342;1ffc;
39;31a;344;25a0;
37;31c;33f;2b44;
36;31d;344;30e8;
36;31c;343;3690;
34;320;344;3c34;
33;31f;346;41d8;
32;31e;346;4780;
31;321;348;4d24;
30;322;347;52c8;
30;320;348;586c;
2f;321;34b;5e10;
2e;31f;349;63b8;
2d;321;349;695c;
2c;320;347;6f00;
2a;323;34f;74a4;
2a;320;34c;7a4c;
29;322;34b;7ff0;
28;31f;34b;8594;
28;323;34e;8b38;
26;321;34d;90e0;
26;322;34e;9684;
25;321;34f;9c28;
24;322;34c;a1d0;
24;31f;352;a774;
23;323;34f;ad18;
22;322;350;b2bc;
22;321;353;b860;
22;321;350;be08;
21;322;350;c3ac;
21;323;351;c950;
20;323;351;cef4;
1f;323;351;d49c;
1e;324;352;da40;
1e;322;356;dfe4;
1d;325;356;e588;
1d;324;353;eb30;
1d;322;354;f0d4;
1d;325;354;f678;
1d;328;359;fc20;
1c;324;354;1c4;
1b;329;355;714;
1b;328;358;c64;
1a;327;358;11b4;
1b;326;355;1758;
1a;328;357;1cfc;
1a;327;357;22a4;
19;32a;359;2848;
19;328;357;2dec;
1a;327;359;3390;
19;32a;358;3934;
19;32b;358;3edc;
19;329;359;4480;
18;32a;358;4a24;
19;32a;357;4fc8;
18;329;359;5570;
19;328;35a;5b14;
18;329;35a;60b8;
19;327;357;6660;
18;32c;358;6c08;
18;327;357;71a8;
19;32a;359;774c;
19;329;35a;7cf0;
18;32a;35b;8298;
1a;329;35c;883c;
19;32a;35a;8de0;
1a;32a;35b;9384;
1a;32b;35c;992c;
1a;329;359;9ed0;
1a;328;359;a474;
1a;327;357;aa18;
1b;32a;359;afc0;
1b;329;359;b564;
1c;328;35a;bb08;
1b;32a;35b;c0ac;
1c;329;35c;c654;
1c;329;35a;cbf8;
1c;328;35b;d19c;
1e;329;35b;d740;
1e;32b;358;dce8;
1e;32a;35a;e28c;
1e;329;35b;e830;
20;329;35a;edd8;
20;32a;359;f37c;
20;328;35b;f920;
21;328;35a;fec4;
22;329;358;468;
23;32b;35e;9b8;
23;329;35a;f08;
23;32a;35b;1458;
23;327;357;1a00;
25;32a;35c;1fa4;
25;32a;35a;2548;
27;329;35b;2aec;
27;327;35a;3094;
27;32b;359;3638;
29;326;35b;3bdc;
2a;32b;35a;4184;
2a;32b;358;4728;
2b;32a;35b;4ccc;
2c;325;35c;5270;
2c;32c;35b;581c;
2e;32a;35e;5dbc;
2f;329;35c;6360;
2f;32a;35a;6904;
30;327;359;6ea8;
32;329;35e;7450;
31;329;35a;79f4;
33;329;35b;7f98;
35;32a;35c;853c;
35;32a;35b;8ae4;
36;329;35a;9088;
38;329;35c;962c;
39;32c;35a;9bd0;
3a;32a;35e;a178;
3b;328;35b;a71c;
3c;32a;359;acc0;
3d;32a;35b;b264;
3e;327;35d;b810;
3f;32b;35c;bdb0;
40;32a;35b;c354;
42;326;35c;c8f8;
43;32a;35b;cea0;
44;328;35b;d444;
46;328;357;d9e8;
47;327;357;df8c;
48;327;357;e534;
49;327;35a;ead8;
4b;32b;357;f07c;
4b;329;359;f620;
4c;327;35c;fbc8;
4e;327;359;16c;
4f;327;35c;6bc;
51;328;35b;c10;
52;328;35d;115c;
53;328;35c;1700;
55;328;359;1ca4;
56;328;359;224c;
57;328;35b;27f0;
59;327;35a;2d94;
5a;327;35a;3338;
5b;325;357;38e0;
5d;325;35a;3e84;
5e;326;35a;4428;
5f;326;35b;49d0;
61;325;35c;4f74;
63;327;35b;5518;
64;327;35b;5abc;
66;327;35b;6064;
66;32a;359;6608;
69;328;35a;6bac;
6a;326;35c;7150;
6c;324;35c;76f4;
6d;325;35b;7c9c;
6e;325;35b;8240;
