9328;348;9b60;
4f;328;355;9e20;
50;32d;355;a3c4;
52;32a;352;a968;
54;32b;354;af0c;
56;32b;353;b4b4;
57;32b;353;ba58;
59;32b;351;bffc;
5b;327;354;c5a0;
5c;32c;350;cb48;
5f;32b;352;d0ec;
61;32b;350;d690;
63;329;351;dc34;
64;32a;350;e1dc;
66;329;34f;e780;
67;329;34f;ed24;
69;325;34c;f2c8;
6b;327;34d;f870;
6d;324;34c;fe14;
6e;325;34d;3b8;
70;322;34f;908;
72;324;34a;e58;
75;323;34c;13a8;
76;322;348;194c;
78;320;34a;1ef4;
79;320;349;2498;
7b;320;347;2a3c;
7d;322;346;2fe0;
7f;31f;347;3588;
81;31f;347;3b2c;
82;31d;346;40d0;
84;31d;346;4674;
86;31c;33f;4c20;
88;31c;33f;51c0;
8b;31b;342;5764;
8c;31d;341;5d08;
8d;31d;342;62b0;
90;31a;340;6854;
91;31b;33d;6df8;
93;31c;33f;739c;
95;317;33b;7944;
97;319;33d;7ee8;
98;31b;33a;848c;
9a;318;33a;8a30;
9d;31c;339;8fd8;
9e;31d;339;957c;
9f;318;338;9b20;
a2;31b;338;a0c4;
a3;318;337;a66c;
a5;319;335;ac14;
a6;317;333;b1b4;
a7;316;332;b758;
ab;313;332;bd00;
ab;314;330;c2a4;
ad;313;332;c848;
b0;313;332;cdec;
b1;312;330;d394;
b2;312;32d;d938;
b4;30f;32d;dedc;
b6;312;32d;e480;
b7;311;32c;ea28;
b9;30e;32a;efcc;
ba;310;329;f570;
bb;310;32a;fb14;
bd;310;328;bc;
be;30e;326;5b4;
c0;312;328;b04;
c1;311;327;1054;
c3;310;325;15fc;
c4;30d;327;1ba0;
c6;312;320;2144;
c6;30f;321;26e8;
c8;30d;322;2c90;
ca;30e;31f;3234;
ca;30f;322;37d8;
cb;30e;320;3d7c;
cc;311;31e;4324;
ce;30d;31f;48c8;
d0;30a;31d;4e6c;
cf;30c;31a;5418;
d0;30d;31d;59b8;
d2;30a;31c;5f5c;
d4;30c;31a;6500;
d5;30a;31c;6aa4;
d5;307;319;704c;
d7;30a;31a;75f0;
d7;307;318;7b94;
d8;304;315;8138;
d9;307;318;86e0;
db;306;316;8c84;
db;304;313;9228;
dc;304;315;97cc;
dd;304;315;9d74;
dd;2ff;314;a318;
de;2fd;311;a8bc;
de;2fc;313;ae60;
df;2fd;30f;b40c;
df;2fb;30d;b9ac;
e0;2fa;30e;bf50;
e0;2fa;311;c4f4;
e1;2f9;310;ca9c;
e1;2fa;310;d040;
e3;2f8;30f;d5e4;
e1;2fc;30e;db88;
e2;2fa;310;e130;
e3;2fa;310;e6d4;
e4;2fc;30c;ec78;
e4;2fe;311;f21c;
e4;2fa;30e;f7c4;
e5;2fc;30c;fd68;
e4;2fd;30f;30c;
e5;2f8;309;85c;
e5;2fa;30d;dac;
e5;2fa;309;12fc;
e6;2f9;30a;18a0;
e5;2fb;309;1e48;
e6;2f9;30b;23ec;
e4;2f9;309;2990;
e4;2fb;30b;2f34;
e4;2fd;307;34dc;
e3;2f9;30a;3a80;
e4;2fa;308;4024;
e4;2fc;309;45c8;
e3;2fa;30a;4b70;
e4;2f9;309;5114;
e3;2fc;30a;56b8;
e3;2fa;30c;5c5c;
e2;2fe;30b;6204;
e2;2fc;30b;67a8;
e2;2f8;30c;6d4c;
e2;2fd;30c;72f0;
e0;2fe;30c;7898;
e0;2fa;30c;7e3c;
de;2fb;30b;83e0;
de;2fb;30c;8984;
de;2fc;30d;8f2c;
de;2fd;309;94d0;
dc;2fc;30a;9a74;
dd;2fa;30c;a020;
dc;2fb;309;a5c0;
da;2fb;30b;ab64;
da;2f9;30c;b108;
d8;2fa;308;b6ac;
d8;2fb;30b;bc54;
d7;2fa;309;c1f8;
d6;2fb;309;c79c;
d5;2fc;30c;cd40;
d4;2fb;30c;d2e8;
d4;2f9;30c;d88c;
d2;2fa;30b;de30;
d1;2fa;30b;e3d4;
d0;2fc;30a;e97c;
cf;2fc;30d;ef20;
ce;2f9;30c;f4c4;
cc;2fb;30c;fa68;
cb;2fa;30a;14;
ca;2fb;30a;508;
c8;2fc;30b;a58;
c7;2fa;309;fa8;
c6;2f9;30b;14f8;
c4;2fd;30c;1aa0;
c4;2fa;309;2044;
c2;2fc;30c;25e8;
c1;2fe;30b;2b8c;
bf;2fa;30a;3134;
be;2fc;309;36d8;
bc;2f9;30b;3c7c;
bb;2fe;30b;4220;
b9;2fa;30a;47c8;
b8;2f9;30b;4d6c;
b7;2fd;30d;5310;
b5;2fa;30a;58b4;
b4;2f8;30b;5e5c;
b2;2f9;30c;6404;
b0;2fa;30b;69a4;
af;2f9;30b;6f48;
ad;2fb;30c;74f0;
ac;2fc;30a;7a94;
aa;2fa;30b;8038;
a8;2fb;30a;85dc;
a6;2fc;309;8b84;
a4;2fa;30c;9128;
a3;2fa;309;96cc;
a0;2f9;30a;9c70;
a0;2fb;30c;a218;
9d;2f7;30d;a7bc;
9b;2fb;309;ad60;
9a;2f9;30b;b304;
98;2fc;30b;b8ac;
96;2fb;30b;be50;
94;2f9;30a;c3f4;
92;2fa;30c;c998;
91;2fa;30d;cf40;
90;2fa;309;d4e4;
8e;2fc;309;da88;
8b;2fc;30c;e02c;
8a;2f8;30c;e5d4;
88;2ff;30a;eb78;
85;2f9;30c;f11c;
84;2fb;30b;f6c0;
83;2fa;30b;fc68;
80;2fc;30d;20c;
7e;2fc;30b;75c;
7d;2fb;30d;cac;
7b;2f9;30b;11fc;
7a;2fa;30d;17a0;
78;2fb;30b;1d44;
76;2fa;30d;22ec;
74;2fb;30f;2890;
72;2fc;30d;2e34;
70;2fc;30d;33d8;
6e;2f9;30f;3980;
6d;2fe;311;3f24;
6a;2fd;311;44c8;
69;2fc;311;4a6c;
67;2fd;313;5018;
65;2fe;314;55b8;
64;2fc;316;5b5c;
62;2fe;316;6100;
60;304;317;66a8;
5f;301;315;6c4c;
5c;302;319;71f0;
5b;304;31b;7794;
58;304;31c;7d3c;
57;30a;31b;82e0;
55;30c;31d;8884;
53;309;320;8e28;
52;30c;320;93d0;
50;30b;321;9974;
4f;30a;324;9f18;
4e;30f;324;a4bc;
4b;30c;324;aa64;
49;310;323;b00c;
48;311;325;b5ac;
47;311;325;bb50;
45;311;328;c0f8;
44;314;325;c69c;
42;316;32a;cc40;
41;313;32c;d1e4;
3f;318;32e;d78c;
3e;318;32e;dd30;
3d;319;32e;e2d4;
3c;31a;32f;e878;
39;31c;32f;ee20;
39;319;332;f3c4;
37;31a;332;f968;
36;31c;332;ff0c;
35;31c;336;4b4;
33;31b;338;a04;
32;31e;333;f54;
31;31f;336;14a4;
2f;31b;338;1a48;
2f;31d;33a;1fec;
2e;31e;33a;2590;
2d;31f;33b;2b38;
2b;31e;33b;30dc;
2a;31d;33c;3680;
29;31e;33c;3c24;
28;31f;33b;41cc;
28;31f;33d;4770;
26;31e;33e;4d14;
25;323;33f;52b8;
24;323;342;5860;
23;324;33d;5e04;
23;324;343;63a8;
23;325;344;694c;
21;327;343;6ef4;
21;329;342;7498;
20;328;346;7a3c;
1f;32b;348;7fe0;
1f;328;347;8588;
1f;328;346;8b2c;
1d;327;348;90d0;
1d;32c;347;9674;
1d;329;349;9c20;
1c;326;348;a1c0;
1c;329;349;a764;
1b;329;34d;ad08;
1b;32a;34a;b2b0;
1b;329;34a;b854;
1a;32b;34f;bdf8;
1a;32a;34b;c39c;
19;32c;350;c944;
1a;328;34f;cee8;
19;32b;350;d48c;
19;326;353;da30;
1a;328;354;dfd8;
18;32c;34e;e57c;
19;329;354;eb20;
19;32b;352;f0c4;
19;32a;350;f66c;
19;32c;352;fc14;
19;32a;355;1b4;
19;32c;351;704;
19;32e;354;c54;
1a;32a;354;11a4;
1a;32b;355;1748;
1a;32d;357;1cf0;
1b;32b;354;2294;
1b;32d;354;2838;
1b;32a;355;2ddc;
1c;32a;356;3384;
1c;32c;354;3928;
1c;32c;355;3ecc;
1c;32b;354;4470;
1d;32b;358;4a18;
1e;32d;357;4fbc;
1e;32b;35a;5560;
1f;329;358;5b04;
20;32b;357;60ac;
20;327;356;6650;
20;32c;359;6bf4;
22;32c;358;7198;
23;32b;357;7740;
23;32a;359;7ce4;
25;32c;356;8288;
26;329;357;882c;
26;32c;359;8dd4;
27;32b;356;9378;
29;32b;357;991c;
28;32d;358;9ec0;
29;329;354;a468;
2c;32b;356;aa0c;
2d;32e;359;afb0;
2d;32c;357;b554;
2e;32b;358;bafc;
2f;32b;358;c0a0;
31;32d;35a;c644;
32;32c;35a;cbe8;
33;32c;355;d190;
34;32a;35a;d734;
36;329;357;dcd8;
37;32e;358;e27c;
38;32d;357;e824;
3a;329;358;edc8;
3b;32b;358;f36c;
3c;32b;355;f910;
3e;32b;356;feb8;
3f;32c;356;45c;
41;329;358;9ac;
42;32b;357;efc;
43;32d;355;144c;
45;32a;357;19f0;
47;329;355;1f94;
48;32c;356;253c;
49;32c;356;2ae0;
4b;329;356;3084;
4d;32a;355;3628;
4f;32a;355;3bd0;
50;32b;355;4174;
51;32d;356;4718;
53;32a;353;4cbc;
55;32b;353;5264;
57;32a;352;580c;
58;32b;351;5dac;
5a;329;351;6350;
5b;329;350;68f8;
5d;32a;354;6e9c;
60;329;352;7440;
61;32c;34f;79e4;
63;324;34f;7f8c;
65;328;34f;8530;
67;327;353;8ad4;
67;328;350;9078;
6a;325;34b;9620;
6c;325;34d;9bc4;
6e;325;34b;a168;
70;322;34a;a70c;
71;323;34a;acb4;
73;324;34e;b258;
75;322;34a;b7fc;
77;325;348;bda0;
78;31f;349;c348;
7a;321;349;c8ec;
7c;321;347;ce90;
7e;31f;342;d434;
80;31b;343;d9dc;
82;320;345;df80;
84;31e;347;e524;
86;31c;340;eac8;
87;320;344;f070;
89;31d;344;f614;
8c;31b;341;fbb8;
8d;31d;33d;15c;
8e;31b;33e;6ac;
91;31d;33c;bfc;
92;31a;33b;114c;
94;31b;33e;16f4;
95;31b;33b;1c98;
98;31b;339;223c;
99;31a;33a;27e0;
9b;31b;33a;2d88;
9d;319;339;332c;
9e;318;337;38d0;
a1;315;338;3e74;
a2;316;335;4420;
a3;315;335;49c0;
a5;312;334;4f64;
a8;315;333;5508;
a9;313;330;5ab0;
ab;312;332;6054;
ad;310;334;65f8;
ae;310;334;6b9c;
af;312;32f;7144;
b2;313;32e;76e8;
b3;312;32e;7c8c;
b5;311;32d;8230;
b6;313;32d;87d8;
b7;312;32b;8d7c;
b9;311;32b;9320;
bc;30f;32a;98c4;
bc;313;328;9e6c;
be;311;329;a414;
bf;30f;328;a9b4;
c1;30f;324;af58;
c2;30f;325;b500;
c4;310;321;baa4;
c4;30e;320;c048;
c6;30d;321;c5ec;
c8;30d;31f;cb94;
c8;311;322;d138;
ca;30b;320;d6dc;
cb;30e;31e;dc80;
cc;30e;31f;e228;
cd;30c;31b;e7cc;
ce;30c;31e;ed70;
d0;30e;31d;f314;
d1;30b;31c;f8bc;
d2;30c;31e;fe60;
d4;308;31a;40c;
d4;306;317;954;
d4;308;318;ea4;
d6;308;31a;13f4;
d8;306;316;1998;
d8;306;313;1f40;
d8;304;316;24e4;
d9;303;315;2a88;
da;304;314;302c;
db;302;315;35d4;
dc;301;314;3b78;
dd;302;310;411c;
dd;2ff;30f;46c0;
de;2fc;312;4c68;
df;2fd;30d;520c;
de;2fc;310;57b0;
df;2f7;30f;5d54;
e0;2fb;30f;62fc;
e1;2fe;30f;68a0;
e2;2fa;30f;6e44;
e2;2fc;310;73e8;
e2;2fb;310;7990;
e3;2fa;30f;7f34;
e4;2fb;30f;84d8;
e3;2fa;30e;8a7c;
e4;2f9;30f;9024;
e4;2fc;30d;95c8;
e4;2fc;30e;9b6c;
e5;2f8;30e;a110;
e3;2fa;30e;a6b8;
e5;2fb;30b;ac5c;
e5;2fb;30f;b200;
e6;2fa;30c;b7a4;
e5;2fc;30b;bd4c;
e5;2fb;30d;c2f0;
e4;2fc;309;c894;
e4;2fd;30a;ce38;
e4;2f9;30b;d3e0;
e3;2fb;308;d984;
e4;2fc;30a;df28;
e4;2f9;309;e4cc;
e4;2fb;307;ea74;
e4;2fb;308;f020;
e4;2fb;30d;f5bc;
e3;2fd;30b;fb60;
e3;2fb;309;108;
e3;2fa;308;658;
e2;2fa;30a;ba8;
e1;2fb;30c;10f8;
e1;2fa;30d;169c;
e0;2fe;30c;1c40;
df;2fc;30f;21e4;
e0;2fc;30c;278c;
df;2fd;30d;2d30;
de;2fc;30a;32d4;
dd;2f8;30c;3878;
dc;2fc;30e;3e20;
dc;2fc;30a;43c4;
dc;2fa;30b;4968;
da;2fc;30c;4f0c;
d9;2fc;30b;54b4;
d8;2f9;30c;5a58;
d7;2fb;30b;5ffc;
d6;2fb;309;65a0;
d6;2fa;307;6b48;
d4;2f9;307;70ec;
d3;2fb;30b;7690;
d3;2fa;30a;7c34;
d1;2fc;30a;81dc;
d0;2fc;30a;8780;
cf;2fb;30c;8d24;
cd;2fd;30b;92c8;
cc;2fd;30c;9870;
cc;2fa;30e;9e14;
ca;2fd;309;a3b8;
c8;2fa;30a;a95c;
c8;2f8;30a;af04;
c6;2fd;30b;b4a8;
c5;2fc;30d;ba4c;
c4;2f9;30d;bff0;
c3;2ff;30b;c598;
c2;2fc;30b;cb3c;
c0;2f9;30c;d0e0;
bd;2fa;307;d684;
bd;2fc;307;dc2c;
bc;2f9;30a;e1d0;
ba;2fd;30b;e774;
b9;2fb;30a;ed18;
b7;2f8;309;f2c0;
b6;2fa;30a;f864;
b3;2fa;308;fe08;
b2;2fb;30c;3ac;
b0;2fa;30c;8fc;
b0;2fb;30d;e4c;
ae;2fa;30b;139c;
ab;2fc;309;1944;
aa;2fc;30a;1ee8;
a9;2fb;30b;248c;
a7;2fb;308;2a30;
a5;2fb;30a;2fd8;
a3;2fa;30d;357c;
a2;2fb;30b;3b20;
a0;2fd;30b;40c4;
9f;2fa;30c;466c;
9d;2f9;30b;4c14;
9a;2fb;309;51b4;
99;2fb;30b;5758;
97;2fc;309;5d00;
95;2fc;30b;62a4;
94;2f9;307;6848;
91;2fc;309;6dec;
8f;2f8;307;7394;
8e;2f9;30d;7938;
8c;2fd;30b;7edc;
8a;2fa;30a;8480;
89;2fa;30c;8a28;
86;2fc;309;8fcc;
85;2fb;30b;9570;
83;2fb;30c;9b14;
81;2fc;30b;a0bc;
7f;2fc;30a;a660;
7e;2fd;30c;ac0c;
7c;2fd;30a;b1a8;
7a;2f9;30a;b750;
78;2fc;30c;bcf4;
76;2fb;30f;c298;
73;2fd;311;c83c;
72;2fb;30e;cde4;
71;2fe;30d;d388;
6f;2fb;310;d92c;
6c;2fd;312;ded0;
6b;2fc;312;e478;
69;2fd;313;ea1c;
68;2fd;314;efc0;
66;300;316;f564;
64;2fe;315;fb0c;
63;2fd;318;b0;
61;2fe;318;5ac;
5f;301;316;afc;
5d;302;316;104c;
5b;304;31c;15f0;
5a;303;31a;1b94;
57;306;31b;2138;
56;305;31d;26e0;
54;308;31e;2c84;
52;308;322;3228;
50;308;31f;37cc;
50;30d;320;3d74;
4e;310;322;4318;
4c;311;321;48bc;
4b;30f;325;4e60;
49;314;325;540c;
48;315;326;59ac;
47;313;325;5f50;
45;315;328;64f4;
43;318;32e;6a9c;
42;318;32a;7040;
40;31a;328;75e4;
3e;31c;32d;7b88;
3e;31a;332;8130;
3c;31c;32d;86d4;
3a;31b;330;8c78;
39;31d;32f;921c;
38;31c;331;97c4;
36;31b;332;9d68;
35;31d;332;a30c;
34;31a;334;a8b0;
31;319;337;ae58;
31;31b;338;b3fc;
30;31b;33b;b9a0;
2f;31c;33a;bf44;
2e;31d;338;c4ec;
2c;31b;33d;ca90;
2c;31d;33a;d034;
2a;31d;33c;d5d8;
29;31f;33d;db80;
28;320;33d;e124;
28;31d;342;e6c8;
26;31f;340;ec6c;
25;322;343;f214;
25;321;344;f7b8;
24;325;343;fd5c;
22;324;342;300;
23;324;344;850;
22;326;343;da0;
21;329;345;12f0;
20;326;347;1898;
20;328;345;1e3c;
1e;326;349;23e0;
1e;329;349;2984;
1e;328;345;2f2c;
1d;32a;34a;34d0;
1e;328;348;3a74;
1d;32c;347;4020;
1b;328;34b;45c0;
1c;326;34e;4b64;
1c;327;34d;5108;
1a;32c;352;56ac;
1a;32a;351;5c54;
1a;329;34d;61f8;
19;32e;353;679c;
1a;32b;352;6d40;
19;329;354;72e8;
18;32d;353;788c;
18;329;355;7e30;
18;32a;354;83d4;
18;32c;356;897c;
1a;32a;353;8f20;
18;32b;355;94c4;
19;32c;354;9a68;
19;32a;353;a014;
19;32d;355;a5b4;
19;32c;357;ab58;
1a;329;357;b0fc;
19;32e;359;b6a4;
1a;32c;356;bc48;
1b;32c;35a;c1ec;
1a;32d;358;c790;
1b;32c;35a;cd38;
1c;32c;35a;d2dc;
1b;32b;358;d880;
1c;32c;357;de24;
1c;32e;359;e3cc;
1d;32e;358;e970;
1e;32c;357;ef14;
1e;327;359;f4b8;
1f;32d;35c;fa60;
20;32d;357;8;
20;329;35b;4a8;
21;32a;359;9f8;
21;32b;359;f48;
22;329;35a;1498;
23;32c;358;1a40;
24;32c;357;1fe4;
25;329;35a;2588;
25;32c;35a;2b2c;
26;32d;35b;30d4;
27;32d;35a;3678;
28;32e;359;3c20;
29;328;359;41c0;
2b;32a;358;4768;
2b;32b;35a;4d0c;
2c;32e;359;52b0;
2e;32b;35a;5854;
2f;32c;359;5dfc;
30;32b;357;63a0;
32;32b;359;6944;
32;32b;359;6ee8;
33;32d;359;7490;
35;327;357;7a34;
36;32d;357;7fd8;
37;32e;359;857c;
38;32a;359;8b24;
3a;32b;359;90c8;
3b;32d;357;966c;
3d;329;358;9c18;
3f;32a;357;a1b8;
3f;32b;35b;a75c;
42;329;358;ad00;
42;32c;357;b2a4;
43;32b;359;b84c;
46;329;358;bdf0;
47;32e;357;c394;
48;32e;355;c938;
4a;329;354;cee0;
4b;32b;357;d484;
4d;32a;354;da28;
50;32b;356;dfcc;
51;32c;356;e574;
53;32d;356;eb18;
54;328;355;f0bc;
56;32a;355;f660;
58;32a;355;fc0c;
59;329;357;1ac;
5b;328;351;6fc;
5d;32d;350;c4c;
5f;329;353;119c;
60;32b;350;1740;
62;329;352;1ce4;
64;328;350;228c;
66;327;351;2830;
67;327;34e;2dd4;
69;325;34d;3378;
6c;324;34e;3920;
6d;322;34f;3ec4;
6f;320;34c;4468;
70;325;34a;4a0c;
72;322;34e;4fb4;
74;322;34c;5558;
76;322;349;5afc;
78;322;348;60a0;
7a;31f;349;6648;
7b;31f;347;6bec;
7d;321;343;7190;
7f;31c;348;7734;
81;320;345;7cdc;
82;320;343;8280;
84;321;342;8824;
86;31d;344;8dc8;
88;31e;341;9370;
8b;31e;342;9914;
8c;31e;341;9eb8;
8e;320;343;a45c;
90;31b;33e;aa04;
92;31d;33c;afa8;
93;31c;33d;b54c;
96;31a;33e;baf0;
97;31b;33d;c098;
99;31c;33c;c63c;
9b;31b;33e;cbe0;
9c;315;338;d184;
9e;315;337;d72c;
a0;315;33a;dcd0;
a2;318;335;e274;
a3;316;336;e820;
a5;314;336;edc0;
a7;313;333;f364;
a8;315;332;f908;
aa;311;334;feac;
ab;312;32d;454;
ae;313;32f;9a4;
af;314;331;ef4;
b1;312;32d;1444;
b2;310;32c;19e8;
b4;315;32d;1f8c;
b6;312;32b;2530;
b7;312;32d;2ad8;
b9;311;32c;307c;
b9;311;329;3620;
bc;310;329;3bc4;
bd;310;32a;416c;
bf;310;327;4710;
bf;30e;324;4cb4;
c1;30e;326;5258;
c2;312;328;5800;
c4;30d;323;5da4;
c6;30c;322;6348;
c7;310;321;68ec;
c8;30d;324;6e94;
c9;30c;323;7438;
cb;30f;31d;79dc;
cc;30e;31f;7f80;
cd;30c;31d;8528;
ce;30a;319;8acc;
cf;30b;319;9070;
d1;30b;31b;9614;
d1;30e;319;9bbc;
d2;30b;318;a160;
d4;30b;317;a704;
d5;309;319;aca8;
d6;308;317;b250;
d7;305;316;b7f4;
d8;307;316;bd98;
d9;306;31a;c33c;
d9;304;315;c8e4;
da;304;317;ce88;
db;302;317;d42c;
db;2ff;314;d9d0;
dc;2fd;314;df78;
dd;2ff;313;e51c;
df;2fd;313;eac0;
de;2fe;310;f064;
df;2fc;312;f60c;
e1;2f8;314;fbb0;
e1;2fc;310;154;
e1;2f8;30f;6a4;
e2;2f8;312;bf4;
e1;2fd;30f;1144;
e2;2fc;310;16e8;
e3;2f9;30e;1c90;
e3;2fb;30c;2234;
e3;2fe;30e;27d8;
e3;2fd;30d;2d7c;
e4;2fc;30b;3324;
e3;2fd;30b;38c8;
e4;2fd;30d;3e6c;
e4;2fb;30b;4418;
e5;2fb;310;49b8;
e5;2fb;30c;4f5c;
e5;2fa;30a;5500;
e5;2fd;30d;5aa4;
e4;2fb;30c;604c;
e5;2fe;309;65f0;
e6;2fc;30a;6b94;
e5;2f9;30b;7138;
e5;2fb;30b;76e0;
e4;2fb;30a;7c84;
e4;2fc;30b;8228;
e5;2fc;30b;87cc;
e4;2fa;30a;8d74;
e4;2f8;30a;9318;
e4;2fd;308;98bc;
e3;2fe;30a;9e60;
e2;2fe;307;a40c;
e3;2fb;309;a9ac;
e2;2fc;30a;af50;
e1;2f9;309;b4f4;
df;2fb;308;ba9c;
e0;2fb;30b;c040;
df;2f9;307;c5e4;
df;2fa;308;cb88;
df;2fc;30b;d130;
de;2fd;30b;d6d4;
dd;2fc;30b;dc78;
dc;2fe;30b;e21c;
db;2fb;309;e7c4;
db;2fb;30b;ed68;
d9;2fa;30a;f30c;
d8;2f9;309;f8b0;
d8;2fc;30a;fe58;
d7;2fc;30a;3fc;
d7;2fc;308;94c;
d5;2f8;30c;e9c;
d4;2fc;309;13ec;
d3;2fa;30b;1990;
d2;2fb;309;1f34;
d1;2fc;30b;24dc;
d0;2fb;30c;2a80;
cf;2fb;307;3024;
cd;2fb;308;35c8;
cd;2f9;309;3b70;
cb;2fb;308;4114;
ca;2fc;307;46b8;
ca;2fd;30b;4c5c;
c7;2fb;30b;5204;
c6;2f9;308;57a8;
c5;2fb;30a;5d4c;
c3;2fc;30a;62f0;
c2;2fc;30b;6898;
c1;2fb;30a;6e3c;
c0;2fb;309;73e0;
bd;2fb;309;7984;
bc;2fb;30b;7f2c;
ba;2fa;30b;84d0;
ba;2fc;30a;8a74;
b8;2fc;309;9020;
b6;2fd;30b;95c0;
b5;2f9;30a;9b64;
b3;2f9;30c;a108;
b2;2fd;309;a6ac;
b0;2fc;30b;ac54;
af;2f9;30b;b1f8;
ac;2fd;308;b79c;
aa;2fc;309;bd40;
aa;2fb;30a;c2e8;
a7;2fc;309;c88c;
a6;2fc;309;ce30;
a4;2f8;307;d3d4;
a2;2f9;309;d97c;
a0;2fc;30b;df20;
a0;2fb;308;e4c4;
9e;2fa;30a;ea68;
9a;2f9;30a;f014;
99;2fa;30a;f5b4;
97;2fd;307;fb58;
96;2fc;30c;fc;
94;2fc;309;5f8;
92;2fd;30c;b48;
91;2fc;30a;1098;
8f;2fe;30b;163c;
8e;2fc;307;1be4;
8b;2fb;30a;2188;
89;2fc;30b;272c;
88;2f7;308;2cd0;
86;2f9;30a;3278;
84;300;307;3820;
81;2fc;308;3dc0;
81;2fe;30b;4364;
7e;2fa;307;490c;
7d;2fc;30a;4eb0;
7b;2fc;30a;5454;
79;2ff;30c;59f8;
77;2fc;30b;5fa0;
75;2fd;30e;6544;
73;2fb;30c;6ae8;
72;2fc;30c;708c;
70;2fb;30e;7634;
6e;2fc;30c;7bd8;
6c;2fc;30e;817c;
6b;2fd;30e;8720;
68;2fe;310;8cc8;
66;2ff;310;926c;
65;2fd;310;9818;
63;2ff;310;9db4;
61;300;313;a35c;
60;304;316;a900;
5e;303;315;aea4;
5c;306;315;b448;
5a;304;316;b9f0;
59;306;319;bf94;
57;30c;31a;c538;
55;308;31a;cadc;
53;30a;31b;d084;
52;30c;31d;d628;
51;30c;320;dbcc;
4e;30b;31d;e170;
4d;30e;320;e718;
4c;30e;324;ecbc;
4a;312;325;f260;
49;311;327;f80c;
47;312;326;fdac;
45;313;327;350;
43;313;329;8a0;
41;318;329;df0;
41;317;32b;1340;
3e;316;32a;18e4;
3e;318;32b;1e88;
3d;31a;32d;2430;
3b;31a;330;29d4;
3b;318;331;2f78;
39;31b;333;351c;
37;31c;335;3ac4;
36;31d;333;4068;
34;31c;337;460c;
33;31c;335;4bb0;
32;31b;33a;5158;
31;31c;335;56fc;
30;31e;336;5ca0;
2f;31b;33a;6244;
2d;31c;339;67ec;
2c;31d;33c;6d90;
2c;31d;33b;7334;
2a;31d;33e;78d8;
29;31f;33e;7e80;
28;31d;340;8424;
28;320;341;89c8;
26;320;340;8f6c;
25;320;33f;9514;
25;324;344;9ab8;
23;320;342;a05c;
23;326;345;a600;
22;324;344;aba8;
22;326;345;b14c;
20;325;346;b6f0;
20;327;346;bc94;
1f;324;346;c23c;
1f;327;34a;c7e0;
1e;32a;34b;cd84;
1d;32a;34a;d328;
1d;32a;34a;d8d0;
1c;32a;349;de74;
1c;328;34b;e420;
1c;32a;34c;e9bc;
1a;32c;34b;ef64;
1b;32e;34e;f508;
1b;329;34d;faac;
19;32a;34d;50;
1a;32b;34f;54c;
1a;329;34f;a9c;
1a;32c;34e;fec;
19;32a;350;153c;
19;32c;34e;1ae0;
1a;32b;34f;2088;
19;32a;351;262c;
19;32a;351;2bd0;
19;32a;353;3174;
18;32c;354;371c;
19;32c;352;3cc0;
19;32a;352;4264;
18;32c;354;4810;
19;32c;353;4db0;
1a;32a;354;5354;
1a;32b;356;58f8;
1b;32b;355;5e9c;
1a;329;357;6444;
1a;32d;354;69e8;
1a;329;35a;6f8c;
1c;32a;356;7530;
1c;32f;357;7ad8;
1d;32c;353;807c;
1c;329;355;8620;
1d;32a;358;8bc4;
1e;32c;358;916c;
1f;329;358;9710;
1f;32e;358;9cb4;
1f;32c;358;a258;
20;329;357;a804;
21;32c;355;ada4;
21;32c;358;b348;
23;328;356;b8ec;
23;32c;359;be94;
24;32c;357;c438;
25;328;356;c9dc;
25;32a;356;cf80;
27;32b;357;d528;
27;329;358;dacc;
28;32b;355;e070;
2a;328;357;e614;
2c;32a;358;ebbc;
2c;32b;358;f160;
2d;32a;357;f704;
2e;32b;356;fca8;
30;32b;358;250;
31;32b;358;7a0;
32;32c;358;cf0;
33;32d;355;1240;
33;328;35a;17e4;
36;32a;358;1d88;
37;32b;358;232c;
38;32c;355;28d4;
3a;329;355;2e78;
3a;330;353;3420;
3c;32c;359;39c0;
3e;32b;358;3f68;
3f;32c;355;450c;
41;32b;356;4ab0;
42;328;356;5054;
43;32a;356;55fc;
44;32e;355;5ba0;
47;329;358;6144;
48;32a;359;66e8;
49;32c;356;6c90;
4a;32b;354;7234;
4d;32f;355;77d8;
4e;32c;353;7d7c;
51;32b;354;8324;
51;32f;355;88c8;
53;32c;351;8e6c;
55;32b;351;9418;
57;32b;353;99b8;
58;32d;351;9f5c;
5a;329;352;a500;
5c;32b;350;aaa4;
5e;32c;350;b04c;
60;32b;34f;b5f0;
61;32a;34f;bb94;
63;328;34e;c138;
64;326;351;c6e0;
66;328;34c;cc84;
68;326;34e;d228;
6a;323;34d;d7cc;
6c;325;34a;dd74;
6e;324;34b;e318;
70;323;34b;e8bc;
71;323;34c;ee60;
74;31f;34c;f40c;
76;31f;34b;f9ac;
77;321;34b;ff50;
78;323;346;4f4;
7b;320;349;a44;
7d;31f;348;f94;
7e;31f;343;14e4;
80;31f;345;1a8c;
81;320;344;2030;
84;31f;343;25d4;
85;31d;344;2b78;
87;31c;343;3120;
89;31d;345;36c4;
8b;31c;343;3c68;
8d;31d;33d;420c;
8f;31d;33f;47b4;
90;31c;33f;4d58;
91;31d;33b;52fc;
