x-axis,1,2,3
second,Volt,Volt,Volt
-1.387500E+00,+1.070352E+00,+547.739E-03,+11.909548E+00
-1.385000E+00,+1.208543E+00,+653.266E-03,+13.040201E+00
-1.382500E+00,+1.336683E+00,+628.141E-03,+13.442211E+00
-1.380000E+00,+1.472362E+00,+773.869E-03,+15.653266E+00
-1.377500E+00,+1.592965E+00,+733.668E-03,+16.457287E+00
-1.375000E+00,+1.753769E+00,+869.347E-03,+16.658292E+00
-1.372500E+00,+1.914573E+00,+909.548E-03,+13.442211E+00
-1.370000E+00,+2.075377E+00,+942.211E-03,+13.555276E+00
-1.367500E+00,+2.195980E+00,+1.150754E+00,+13.643216E+00
-1.365000E+00,+2.374372E+00,+1.190955E+00,+11.105528E+00
-1.362500E+00,+2.517588E+00,+1.472362E+00,+11.231156E+00
-1.360000E+00,+2.678392E+00,+1.497487E+00,+11.344221E+00
